Core_ID,Clean_Core_ID,Mesh_Type,Label_Type,Core_Depth_cm,d13_day1,atom_percent_day1,ppmv_day1,d13_day2,atom_percent_day2,ppmv_day2,d13_day3,atom_percent_day3,ppmv_day3,d13_day4,atom_percent_day4,ppmv_day4,d13_day5,atom_percent_day5,ppmv_day5,d13_day6,atom_percent_day6,ppmv_day6,d13_day7,atom_percent_day7,ppmv_day7,d13_day9,atom_percent_day9,ppmv_day9,Core_Volume_m3,Gas_Moles,C13_ug_D1,C13_ug_D2,C13_ug_D3,C13_ug_D4,C13_ug_D5,C13_ug_D6,C13_ug_D7,C13_ug_D9,Total_13C_ug,PeakDay_13C_CO2_ug
1.13.1,01.13.1,1,starch,4,19.12,1.126569,795.3168008,177.4884304,1.299361717,817.0097508,6.676755299,1.112968411,701.6142207,64.29,1.175918,806.1,-4.106160045,1.10117824,606.110421,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.85E-05,1.09E-05,0.000868086,0.000891764,0.00076581,0.000879856,0.000661568,NA,NA,NA,0.585659917,0.128413969
1.13.2,01.13.2,2,starch,7,-8,1.096919,799.7023792,42.577148,1.152202086,663.1620963,-4.406370601,1.100849946,700.635297,16.99,1.124242,659.8,48.04540913,1.158175333,860.6305926,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000137445,1.91E-05,0.001527527,0.001266719,0.001338297,0.001260297,0.001643907,NA,NA,NA,1.01329171,0.182407534
1.13.3,01.13.3,3,starch,5,-9.96,1.094775,744.6477082,47.49120591,1.157569983,673.3037463,-10.00739167,1.094724571,665.1591008,NA,NA,NA,-2.13760801,1.103330888,664.7675313,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.82E-05,1.36E-05,0.001015976,0.000918636,0.000907524,NA,0.00090699,NA,NA,NA,0.670519092,0.13228362
10.2.1,10.02.1,1,starch,7.5,25.33,1.13336,824.0971587,48.95963351,1.159173914,900.9622505,15.13292995,1.122212529,837.9587188,0.48,1.10619,901.1,0.324333684,1.106022936,763.9520843,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000147262,2.05E-05,0.001686562,0.00184387,0.00171493,0.001844152,0.001563471,NA,NA,NA,1.246029978,0.265517344
10.2.2,10.02.2,2,starch,5.5,-8.28,1.096613,931.7787698,-9.345473677,1.095448495,739.6747756,-6.344728044,1.09873021,774.6027746,-9.88,1.094861,871.6,-8.2775077,1.096616483,740.5362285,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000107992,1.50E-05,0.001398421,0.00111011,0.00116253,0.001308105,0.001111403,NA,NA,NA,0.877041968,0.15985585
10.2.3,10.02.3,3,starch,5.5,5,1.111139,683.0146697,NA,NA,NA,-9.26323727,1.095538435,627.6075862,-11.62,1.092964,686.3,-9.993717718,1.094739526,615.2339902,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000107992,1.50E-05,0.001025074,NA,0.000941919,0.001030005,0.000923348,NA,NA,NA,0.706153289,0.147610672
11.6.1,11.06.1,1,starch,5.5,-5.86,1.099262,864.3896597,-3.225137871,1.102141666,912.3569228,-5.467276198,1.099689779,960.8332263,-5.28,1.099895,1117.9,240.7529463,1.368219095,666.7253787,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000107992,1.50E-05,0.001297283,0.001369273,0.001442027,0.001677754,0.001000627,NA,NA,NA,0.977322709,0.197175295
11.6.2,11.06.2,2,starch,4,13.76,1.120714,607.7941698,13.39988478,1.12031814,670.5627598,14.12675515,1.12111269,666.5687509,-1.34,1.104203,771.9,31.16895852,1.139738043,787.5245679,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.85E-05,1.09E-05,0.000663405,0.000731917,0.000727558,0.000842527,0.000859581,NA,NA,NA,0.550798228,0.10539608
11.6.3,11.06.3,3,starch,4,-3.67,1.101652,770.6479227,-4.486883174,1.100761901,914.510555,-7.092651639,1.097912276,890.8989145,-10.32,1.09438,933.3,16.5372032,1.123747485,782.3558506,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.85E-05,1.09E-05,0.00084116,0.000998186,0.000972413,0.001018694,0.000853939,NA,NA,NA,0.674552451,0.143738713
14.10.1,14.10.1,1,starch,8,23.94,1.131839,688.3791718,-1.678815241,1.103832573,639.3155141,285.161953,1.416496691,681.4483917,-2.26,1.103199,689.3,2.260568487,1.108140038,711.5600859,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00015708,2.18E-05,0.001502728,0.001395622,0.001487598,0.001504738,0.001553331,NA,NA,NA,1.071938343,0.200969553
