Identifier 1,Identifier 2,Compounds Result Name,Is Ref _,Ref  Name,Sample Dilution,Start,End,Rt,Width,Area All,Ampl  44,Ampl  45,d 13C/12C,R 13C/12C,Date,Time,AT% 13C/12C,FileHeader: Filename,dry_soil_weight_g
01.05.1,3 ul,,0,CSU CO2,0,586.7,602.8,593.6,16.1,0.546,42,50,-17.067,0.0109894,4/6/17,12:10:08,1.086993,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,11:00,0,CSU CO2,0,617.6,627,620.9,9.4,0.433,87,101,-44.446,0.0106833,4/6/17,12:10:08,1.057036,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,637.7,651.5,642.7,13.8,1.609,317,378,-4.963,0.0111247,4/6/17,12:10:08,1.100231,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,651.5,678.6,656.3,27.2,6.209,685,810,-31.891,0.0108237,4/6/17,12:10:08,1.070776,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,12:00,0,CSU CO2,0,678.6,713.3,683.4,34.7,17.873,3318,3917,-31.002,0.0108336,4/6/17,12:10:08,1.071749,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,714.6,724.4,720,9.8,0.233,31,41,81.354,0.0120898,4/6/17,12:10:08,1.194534,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,725.2,741.3,732.8,16.1,0.718,90,107,-15.869,0.0110028,4/6/17,12:10:08,1.088303,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,749.1,759.7,753,10.7,0.227,42,50,-37.264,0.0107636,4/6/17,12:10:08,1.064896,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,13:00,0,CSU CO2,0,767,782.3,773.3,15.3,0.925,123,145,-26.494,0.010884,4/6/17,12:10:08,1.07668,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,782.7,789.6,785.2,6.9,0.312,59,71,-6.294,0.0111098,4/6/17,12:10:08,1.098776,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,2OH 12:0,0,CSU CO2,0,794.8,804.9,803,10,0.598,95,112,-20.891,0.0109466,4/6/17,12:10:08,1.08281,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,804.9,817,806.9,12.1,0.609,102,120,-18.816,0.0109698,4/6/17,12:10:08,1.08508,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,821.2,830.4,826,9.2,0.535,95,113,-25.548,0.0108946,4/6/17,12:10:08,1.077715,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,3OH 13:0,0,CSU CO2,0,830.4,840.8,837.3,10.5,1.102,162,204,22.974,0.0114371,4/6/17,12:10:08,1.130773,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,840.8,869.2,847.3,28.4,42.298,6851,8064,-30.414,0.0108402,4/6/17,12:10:08,1.072392,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,14:01,0,CSU CO2,0,869.2,877.6,873.2,8.4,0.888,145,173,-22.165,0.0109324,4/6/17,12:10:08,1.081417,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,14:00,0,CSU CO2,0,877.6,887.8,881.4,10.2,1.598,254,344,107.832,0.0123858,4/6/17,12:10:08,1.223426,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,887.8,893.9,889.9,6.1,0.415,84,103,23.429,0.0114421,4/6/17,12:10:08,1.13127,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,893.9,905.2,897,11.3,0.47,73,87,-10.468,0.0110632,4/6/17,12:10:08,1.094211,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,911.4,918.1,915.8,6.7,0.214,50,59,-29.736,0.0108478,4/6/17,12:10:08,1.073134,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,930.3,943,935.7,12.7,0.342,39,49,110.688,0.0124177,4/6/17,12:10:08,1.22654,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,a15:0,0,CSU CO2,0,943.6,974.6,966,30.9,27.59,4111,5173,37.836,0.0116032,4/6/17,12:10:08,1.147012,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,974.6,992.5,978.5,18,8.094,1232,1562,46.686,0.0117022,4/6/17,12:10:08,1.15668,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,992.5,1008,1000.3,15.5,5.236,645,762,-20.912,0.0109464,4/6/17,12:10:08,1.082787,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,15:01,0,CSU CO2,0,1008,1016.8,1011.4,8.8,1.487,224,265,-20.316,0.0109531,4/6/17,12:10:08,1.08344,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,15:00,0,CSU CO2,0,1016.8,1035.6,1021.2,18.8,2.95,309,411,72.745,0.0119935,4/6/17,12:10:08,1.185137,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,1035.6,1040,1037.1,4.4,0.159,38,46,0.314,0.0111837,4/6/17,12:10:08,1.106002,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,1040,1048.6,1043.1,8.6,0.262,39,49,135.478,0.0126949,4/6/17,12:10:08,1.253574,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,1081.4,1102.7,1096.2,21.3,0.685,55,72,19.889,0.0114026,4/6/17,12:10:08,1.127401,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,3OH 14:0,0,CSU CO2,0,1109.2,1146.2,1123,37,12.989,1748,2227,45.739,0.0116916,4/6/17,12:10:08,1.155646,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,1146.2,1156.8,1153.5,10.7,0.799,103,126,16.35,0.011363,4/6/17,12:10:08,1.123533,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,16:1n9/i16:0,0,CSU CO2,0,1156.8,1172.9,1162.2,16.1,4.342,578,924,313.808,0.0146886,4/6/17,12:10:08,1.447601,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,16:1w5,0,CSU CO2,0,1172.9,1185.7,1179.4,12.7,5.795,839,1028,76.551,0.0120361,4/6/17,12:10:08,1.189291,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,16:00,0,CSU CO2,0,1185.7,1215.5,1194.6,29.9,39.344,4878,7542,361.223,0.0152187,4/6/17,12:10:08,1.499061,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,1215.5,1232.7,1221.6,17.1,2.29,282,342,41.464,0.0116438,4/6/17,12:10:08,1.150976,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,1232.7,1239.8,1236,7.1,0.258,39,50,66.243,0.0119208,4/6/17,12:10:08,1.178038,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,1240.8,1258.4,1245,17.6,0.458,42,50,-30.877,0.010835,4/6/17,12:10:08,1.071886,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,1259,1280.5,1270.9,21.5,15.225,1817,2227,4.817,0.0112341,4/6/17,12:10:08,1.110925,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,1280.5,1290.6,1284.9,10,5.399,747,887,-25.616,0.0108938,4/6/17,12:10:08,1.077642,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,i17:0,0,CSU CO2,0,1290.6,1305.4,1298.9,14.8,5.433,438,511,-37.937,0.0107561,4/6/17,12:10:08,1.06416,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,17:0cy,0,CSU CO2,0,1305.4,1325.3,1311.7,19.9,10.32,1426,1788,31.745,0.0115351,4/6/17,12:10:08,1.140358,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,1325.3,1346.8,1331.1,21.5,4.426,601,744,7.02,0.0112587,4/6/17,12:10:08,1.113334,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,17:01,0,CSU CO2,0,1346.8,1361.2,1352,14.4,0.298,46,61,141.494,0.0127621,4/6/17,12:10:08,1.260131,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,1362.1,1381.9,1370.2,19.9,3.017,408,579,203.299,0.0134531,4/6/17,12:10:08,1.327454,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,17:00,0,CSU CO2,0,1381.9,1403,1391.7,21.1,8.088,1010,1242,16.366,0.0113632,4/6/17,12:10:08,1.12355,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,1403,1417.6,1405.9,14.6,0.791,99,116,-25.16,0.0108989,4/6/17,12:10:08,1.07814,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,2OH 16:0,0,CSU CO2,0,1456.7,1482.4,1471.2,25.7,5.429,517,622,-7.613,0.0110951,4/6/17,12:10:08,1.097334,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,1482.4,1509.4,1492.5,27,11.3,1071,1260,-30.339,0.010841,4/6/17,12:10:08,1.072473,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,18:3n6,0,CSU CO2,0,1519.8,1537.2,1525.9,17.3,0.652,75,99,69.992,0.0119627,4/6/17,12:10:08,1.18213,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,"18:2n9,12 and cis-18:1n9 and 183n3",0,CSU CO2,0,1543,1572.9,1565.6,29.9,11.158,1315,1752,271.615,0.0142169,4/6/17,12:10:08,1.401763,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,18:00,0,CSU CO2,0,1572.9,1589.4,1579,16.5,10.743,1393,2259,375.38,0.015377,4/6/17,12:10:08,1.514415,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,1589.4,1597,1592.2,7.5,0.872,143,188,101.02,0.0123096,4/6/17,12:10:08,1.215993,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,1597,1607.4,1600.5,10.4,0.679,112,129,-74.194,0.0103507,4/6/17,12:10:08,1.024466,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,1607.4,1640.2,1617,32.8,18.515,1733,2216,49.117,0.0117293,4/6/17,12:10:08,1.159336,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,1640.2,1672.2,1646.1,32,1.217,94,98,-188.808,0.0090693,4/6/17,12:10:08,0.898777,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,1692.5,1725.5,1704.4,33,9.783,813,967,-23.308,0.0109196,4/6/17,12:10:08,1.080167,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,1726.5,1737.8,1729.3,11.3,0.291,34,35,-205.335,0.0088845,4/6/17,12:10:08,0.880627,01_05_1_Acquisition_3 ul-0001.dxf,
01.05.1,3 ul,,0,CSU CO2,0,1739.5,1754.8,1746.2,15.3,0.49,56,62,-151.728,0.0094839,4/6/17,12:10:08,0.939476,01_05_1_Acquisition_3 ul-0001.dxf,
