Core_ID,Mesh_Type,Label_Type,Core_Depth_cm,d13_day1,atom_percent_day1,ppmv_day1,d13_day2,atom_percent_day2,ppmv_day2,d13_day3,atom_percent_day3,ppmv_day3,d13_day4,atom_percent_day4,ppmv_day4,d13_day5,atom_percent_day5,ppmv_day5,d13_day6,atom_percent_day6,ppmv_day6,d13_day7,atom_percent_day7,ppmv_day7,d13_day9,atom_percent_day9,ppmv_day9
1.5.1,1,leaf,5,73.75,1.186240,1012.872812,,,,,,,-4.47,1.100782,760.3,,,,4.811007947,1.110928581,1125.683984,-0.665228085,1.104940902,722.2107762,35.15,1.144085,978.80
1.5.2,2,leaf,5,3.32,1.109294,739.1265783,,,,,,,-6.77,1.098265,807.7,,,,-8.626690336,1.0962346,376.4549123,,,,-5.96,1.099149,855.70
1.5.3,3,leaf,7,-11.25,1.093362,587.3933991,,,,,,,-12.17,1.092364,661,,,,-10.88233374,1.09376765,661.5175045,,,,-12.24,1.092277,654.80
1.13.1,1,starch,4,19.12,1.126569,795.3168008,177.4884304,1.299361717,817.0097508,6.676755299,1.112968411,701.6142207,64.29,1.175918,806.1,-4.106160045,1.10117824,606.110421,,,,,,,,,
1.13.2,2,starch,7,-8.00,1.096919,799.7023792,42.577148,1.152202086,663.1620963,-4.406370601,1.100849946,700.635297,16.99,1.124242,659.8,48.04540913,1.158175333,860.6305926,,,,,,,,,
1.13.3,3,starch,5,-9.96,1.094775,744.6477082,47.49120591,1.157569983,673.3037463,-10.00739167,1.094724571,665.1591008,,,,-2.13760801,1.103330888,664.7675313,,,,,,,,,
10.2.1,1,starch,7.5,25.33,1.133360,824.0971587,48.95963351,1.159173914,900.9622505,15.13292995,1.122212529,837.9587188,0.48,1.10619,901.1,0.324333684,1.106022936,763.9520843,,,,,,,,,
10.2.2,2,starch,5.5,-8.28,1.096613,931.7787698,-9.345473677,1.095448495,739.6747756,-6.344728044,1.09873021,774.6027746,-9.88,1.094861,871.6,-8.2775077,1.096616483,740.5362285,,,,,,,,,
10.2.3,3,starch,5.5,5.00,1.111139,683.0146697,,,,-9.26323727,1.095538435,627.6075862,-11.62,1.092964,686.3,-9.993717718,1.094739526,615.2339902,,,,,,,,,
10.4.1,1,water,7,,,,101.9904248,1.217063423,967.1020365,,,,-13.79,1.090589,755,,,,-15.45320052,1.088768211,797.470433,-10.51647915,1.094167786,654.5475675,-16.63,1.087484,1041.00
10.4.2,2,water,7,,,,38.42429666,1.147665243,761.3187409,,,,-15.67,1.08853,787,,,,-16.914039,1.087170295,948.2246885,-13.38472251,1.091030696,697.8551536,-17.19,1.086872,904.00
10.4.3,3,water,5.5,,,,42.39910652,1.152007591,671.2190277,,,,-16.25,1.087901,830,,,,-16.0752657,1.088087781,882.3235426,-14.34537912,1.08997995,675.5356924,-15.94,1.088236,793.00
11.6.1,1,starch,5.5,-5.86,1.099262,864.3896597,-3.225137871,1.102141666,912.3569228,-5.467276198,1.099689779,960.8332263,-5.28,1.099895,1117.9,240.7529463,1.368219095,666.7253787,,,,,,,,,
11.6.2,2,starch,4,13.76,1.120714,607.7941698,13.39988478,1.12031814,670.5627598,14.12675515,1.12111269,666.5687509,-1.34,1.104203,771.9,31.16895852,1.139738043,787.5245679,,,,,,,,,
11.6.3,3,starch,4,-3.67,1.101652,770.6479227,-4.486883174,1.100761901,914.510555,-7.092651639,1.097912276,890.8989145,-10.32,1.09438,933.3,16.5372032,1.123747485,782.3558506,,,,,,,,,
11.10.1,1,leaf,5,13.54,1.120470,1051.677349,,,,,,,-9.52,1.095252,1141.3,,,,-10.87437027,1.09377636,1107.084433,27.73421155,1.135984787,1013.02944,26.2,1.134313,1158.70
11.10.2,2,leaf,3.5,18.15,1.125514,685.9514409,,,,,,,8.48,1.114935,756.7,,,,6.782421806,1.113083934,801.346971,11.99670402,1.118784272,712.3823818,8.33,1.114776,793.90
11.10.3,3,leaf,4.5,-10.20,1.094516,1238.495155,,,,,,,-13.4,1.091015,1238.7,,,,-14.79598654,1.089487078,1422.297876,-11.03261409,1.093603287,1245.856662,-10.46,1.094232,1384.00
12.1.1,1,leaf,7,-0.90,1.104685,710.1895927,,,,,,,-9.14,1.095673,835,,,,-9.980289994,1.094754211,839.4075259,63.96155358,1.175557202,725.8523725,39.71,1.149072,998.70
12.1.2,2,leaf,5,-6.23,1.098861,647.0685901,,,,,,,-11.43,1.093171,680,,,,-8.622477509,1.096239208,798.0969442,2.010217542,1.107866307,645.6589399,7.7,1.114086,748.60
12.1.3,3,leaf,5,-2.45,1.102984,627.9208418,,,,,,,-9.43,1.095351,657.2,,,,-11.29263296,1.093318901,757.3737168,-1.122771733,1.104440594,626.6286625,-3.41,1.101937,709.30
12.5.1,1,leaf,6.5,225.83,1.351986,666.0205537,,,,,,,-8.5,1.096372,718.2,,,,-6.502786495,1.098557357,685.8339701,51.45270941,1.161896927,639.6679267,92.36,1.206552,854.10
12.5.2,2,leaf,5.5,36.65,1.145731,590.565112,,,,,,,-8.42,1.096465,680,,,,-8.074176998,1.096838854,701.2618082,4.148478606,1.110204215,618.3665461,34.39,1.143259,819.20
12.5.3,3,leaf,4.5,22.83,1.130622,620.794277,,,,,,,-9.32,1.095481,689.4,,,,-11.87485319,1.092682113,693.3912613,-1.435246668,1.104098911,641.1167338,0.06,1.105736,658.60
12.9.1,1,leaf,6.5,64.76,1.176431,799.6632222,,,,,,,89.74,1.203692,747.1,,,,-7.856127795,1.09707732,809.4133026,54.85529534,1.165613093,696.0539339,61.02,1.172348,828.30
12.9.2,2,leaf,7,-2.04,1.103439,687.2827772,,,,,,,15.12,1.122203,811.4,,,,-9.059239629,1.09576154,784.9010523,3.927272895,1.10996236,709.9938079,0.22,1.105904,806.70
12.9.3,3,leaf,7,-8.45,1.096425,736.1898071,,,,,,,-1.54,1.103989,887,,,,-13.59743219,1.09079804,767.0063264,-0.520439431,1.105099222,614.1767525,-5.49,1.09966,667.90
14.9.1,1,water,6,21.97,1.129682,779.4340271,-13.2522428,1.091175597,836.9182798,86.18346545,1.199815314,907.6189319,-15.85,1.088335,906,-13.14937124,1.091288115,864.4288167,,,,,,,,,
14.9.2,2,water,7,-2.92,1.102473,760.1269457,-13.49621064,1.090908754,650.2037065,14.57391431,1.121601478,799.5065944,-14.94,1.089325,744,-15.73568238,1.088459227,781.1419851,,,,,,,,,
14.9.3,3,water,6,-5.30,1.099873,651.7927667,-12.46493233,1.092036722,588.3495383,14.18687686,1.121178409,686.0297548,-13.18,1.09126,632,-13.2489284,1.091179223,648.4782403,,,,,,,,,
14.10.1,1,starch,8,23.94,1.131839,688.3791718,-1.678815241,1.103832573,639.3155141,285.161953,1.416496691,681.4483917,-2.26,1.103199,689.3,2.260568487,1.108140038,711.5600859,,,,,,,,,
14.10.2,2,starch,4,18.75,1.126166,953.5500337,50.90274934,1.161296257,893.8356857,73.46316313,1.185930904,942.9776573,13.66,1.120603,938.6,4.163787424,1.110220952,926.923308,,,,,,,,,
