Tree species,Sample Name,Plot,Tree,Core,Hits,AMF ,DSE,Vesicle,Coil,Mircrosclerotia,Arbuscules,Spores,Fungal Conidia,Oomycota,Nematode Cysts,Brown Cysts,Fungal Pathogen (2),Brown Cluster,Brown Cells/Orbs,Old Coils,Ectomycorrhizae,Hartig Net,per_AMF,per_dse,per_ves,per_coil,per_ms,per_arb,per_spore,per_conidia,per_oom,per_nema,per_browncyst,per_FP2,per_browncluster,per_brownorbs,per_oldcoils,per_ecto,per_hartig
Goeth,1.5.1,1,5,1,25,9,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,36,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0
Goeth,1.5.2,1,5,2,50,12,12,0,1,0,0,0,0,3,0,1,0,1,1,0,0,0,24,24,0,2,0,0,0,0,6,0,2,0,2,2,0,0,0
Goeth,1.5.3,1,5,3,51,27,3,1,0,0,0,0,1,0,1,2,0,0,3,0,0,0,52.94117647,5.882352941,1.960784314,0,0,0,0,1.960784314,0,1.960784314,3.921568627,0,0,5.882352941,0,0,0
Penta,1.11.1,1,11,1,50,4,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,8,8,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0
Penta,1.11.2,1,11,2,50,22,3,0,0,0,0,0,1,1,0,0,8,1,0,0,0,0,44,6,0,0,0,0,0,2,2,0,0,16,2,0,0,0,0
Penta,1.11.3a,1,11,3,50,17,6,1,0,2,0,0,0,0,9,0,0,0,0,0,0,0,34,12,2,0,4,0,0,0,0,18,0,0,0,0,0,0,0
Penta,1.11.3b,1,11,3,50,16,0,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0,32,0,2,2,0,0,0,0,0,14,0,0,0,0,0,0,0
Penta,1.13.1,1,13,1,50,21,7,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,42,14,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0
Penta,1.13.2,1,13,2,25,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,24,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Penta,1.13.3,1,13,3,50,28,2,0,0,0,0,0,1,0,3,0,0,0,12,0,0,0,56,4,0,0,0,0,0,2,0,6,0,0,0,24,0,0,0
Goeth,2.5.1A,2,5,1,50,31,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,62,2,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Goeth,2.5.2,2,5,2,25,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goeth,2.5.3,2,5,3,50,33,7,1,2,0,0,0,0,1,3,0,0,0,1,0,0,0,66,14,2,4,0,0,0,0,2,6,0,0,0,2,0,0,0
Goeth,2.5.1 B,2,5,1,50,25,5,1,0,2,0,0,0,3,4,0,1,1,0,0,0,0,50,10,2,0,4,0,0,0,6,8,0,2,2,0,0,0,0
Goeth,2.8.1,2,8,1,50,19,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,38,4,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0
Goeth,2.8.2,2,8,2,50,8,14,0,0,4,0,0,1,0,1,0,0,2,0,0,0,0,16,28,0,0,8,0,0,2,0,2,0,0,4,0,0,0,0
Goeth,2.8.3,2,8,3,50,24,4,0,2,0,0,0,0,1,2,2,0,2,3,0,0,0,48,8,0,4,0,0,0,0,2,4,4,0,4,6,0,0,0
Goeth,2.10.1,2,10,1,50,10,7,0,0,3,0,0,0,1,1,2,0,1,6,0,0,0,20,14,0,0,6,0,0,0,2,2,4,0,2,12,0,0,0
Goeth,2.10.2,2,10,2,50,18,21,1,0,16,0,0,1,1,1,1,2,0,1,0,0,0,36,42,2,0,32,0,0,2,2,2,2,4,0,2,0,0,0
Goeth,2.10.3,2,10,3,50,27,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,54,4,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0
Goeth,2.13.1,2,13,1,50,12,7,0,1,0,0,0,0,0,2,1,0,0,5,0,0,0,24,14,0,2,0,0,0,0,0,4,2,0,0,10,0,0,0
Goeth,2.13.2,2,13,2,50,27,10,1,0,0,0,0,2,0,1,0,1,0,1,0,0,0,54,20,2,0,0,0,0,4,0,2,0,2,0,2,0,0,0
Goeth,2.13.3,2,13,3,52,22,4,0,2,4,0,1,1,0,0,1,0,0,2,0,0,0,42.30769231,7.692307692,0,3.846153846,7.692307692,0,1.923076923,1.923076923,0,0,1.923076923,0,0,3.846153846,0,0,0
Penta,3.7.1,3,7,1,17,9,7,2,3,4,0,0,0,0,0,0,0,1,0,0,0,0,52.94117647,41.17647059,11.76470588,17.64705882,23.52941176,0,0,0,0,0,0,0,5.882352941,0,0,0,0
Penta,3.7.2,3,7,2,25,14,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,56,4,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0
Penta,3.7.3,3,7,3,50,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Penta,4.7.1,4,6,1,50,29,1,2,1,3,0,0,0,0,0,0,0,0,2,0,0,0,58,2,4,2,6,0,0,0,0,0,0,0,0,4,0,0,0
Penta,4.7.2,4,7,2,35,16,3,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,45.71428571,8.571428571,0,5.714285714,2.857142857,0,0,2.857142857,5.714285714,0,0,0,0,0,0,0,0
Penta,4.7.3,4,7,3,50,2,4,0,0,2,0,0,1,1,0,0,4,1,0,0,0,0,4,8,0,0,4,0,0,2,2,0,0,8,2,0,0,0,0
Penta,5.3.1,5,3,1,35,14,10,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,40,28.57142857,0,0,2.857142857,0,0,5.714285714,0,0,2.857142857,0,2.857142857,0,0,0,0
Penta,5.3.2,5,3,2,50,4,7,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,8,14,0,0,12,0,0,0,2,0,0,0,2,0,0,0,0
Penta,5.3.3,5,3,3,50,14,7,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,28,14,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0
Penta,5.9.1,5,9,1,35,9,10,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,25.71428571,28.57142857,0,0,5.714285714,0,0,2.857142857,0,0,0,0,2.857142857,0,0,0,0
Penta,5.9.2A,5,9,2,25,5,1,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,20,4,0,0,0,0,0,0,0,20,4,0,0,0,8,0,0
Penta,5.9.2B,5,9,2,25,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Penta,5.9.3,5,9,3,50,14,4,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,28,8,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0
Penta,6.6.1,6,6,1,13,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23.07692308,0,0,0,0,0,0,0,0,7.692307692,0,0,0,0,0,0,0
Penta,6.6.2,6,6,2,50,20,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,40,16,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Penta,6.6.3,6,6,3,50,10,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,20,14,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
Penta,9.1.1,9,1,1,50,20,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penta,9.1.2,9,1,2,50,14,3,1,0,16,0,0,1,2,0,0,0,1,1,0,0,0,28,6,2,0,32,0,0,2,4,0,0,0,2,2,0,0,0
Penta,9.1.3,9,1,3,50,17,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34,10,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Goeth,9.3.1,9,3,1,50,22,7,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,44,14,0,0,2,0,2,0,2,2,2,0,2,0,0,0,0
Goeth,9.3.2,9,3,2,50,22,15,1,0,2,0,0,0,1,2,0,1,0,1,0,0,0,44,30,2,0,4,0,0,0,2,4,0,2,0,2,0,0,0
Goeth,9.3.3,9,3,3,50,35,5,5,0,0,0,0,0,0,9,0,0,0,1,0,0,0,70,10,10,0,0,0,0,0,0,18,0,0,0,2,0,0,0
Goeth,9.6.2,9,6,2,50,22,24,3,2,3,0,0,0,0,3,2,0,3,1,0,0,0,44,48,6,4,6,0,0,0,0,6,4,0,6,2,0,0,0
