"","Identifier.1","Identifier.2","Compounds.Result.Name","Is.Ref._","Ref..Name","Sample.Dilution","Start","End","Rt","Width","Area.All","Ampl..44","Ampl..45","d.13C.12C","R.13C.12C","Date","Time","AT..13C.12C","FileHeader..Filename","dry_soil_weight_g"
"5","01.05.1","3","12:00",0,"CSU CO2",0,678.6,713.3,683.4,34.7,17.873,3318,3917,-31.002,0.0108336,"4/6/17","12:10:08",1.071749,"01_05_1_Acquisition_3 ul-0001.dxf",NA
"17","01.05.1","3","14:00",0,"CSU CO2",0,877.6,887.8,881.4,10.2,1.598,254,344,107.832,0.0123858,"4/6/17","12:10:08",1.223426,"01_05_1_Acquisition_3 ul-0001.dxf",NA
"22","01.05.1","3","a15:0",0,"CSU CO2",0,943.6,974.6,966,30.9,27.59,4111,5173,37.836,0.0116032,"4/6/17","12:10:08",1.147012,"01_05_1_Acquisition_3 ul-0001.dxf",NA
"26","01.05.1","3","15:00",0,"CSU CO2",0,1016.8,1035.6,1021.2,18.8,2.95,309,411,72.745,0.0119935,"4/6/17","12:10:08",1.185137,"01_05_1_Acquisition_3 ul-0001.dxf",NA
"32","01.05.1","3","16:1n9/i16:0",0,"CSU CO2",0,1156.8,1172.9,1162.2,16.1,4.342,578,924,313.808,0.0146886,"4/6/17","12:10:08",1.447601,"01_05_1_Acquisition_3 ul-0001.dxf",NA
"34","01.05.1","3","16:00",0,"CSU CO2",0,1185.7,1215.5,1194.6,29.9,39.344,4878,7542,361.223,0.0152187,"4/6/17","12:10:08",1.499061,"01_05_1_Acquisition_3 ul-0001.dxf",NA
"40","01.05.1","3","i17:0",0,"CSU CO2",0,1290.6,1305.4,1298.9,14.8,5.433,438,511,-37.937,0.0107561,"4/6/17","12:10:08",1.06416,"01_05_1_Acquisition_3 ul-0001.dxf",NA
"41","01.05.1","3","17:0cy",0,"CSU CO2",0,1305.4,1325.3,1311.7,19.9,10.32,1426,1788,31.745,0.0115351,"4/6/17","12:10:08",1.140358,"01_05_1_Acquisition_3 ul-0001.dxf",NA
"45","01.05.1","3","17:00",0,"CSU CO2",0,1381.9,1403,1391.7,21.1,8.088,1010,1242,16.366,0.0113632,"4/6/17","12:10:08",1.12355,"01_05_1_Acquisition_3 ul-0001.dxf",NA
"50","01.05.1","3","18:2n9,12 and cis-18:1n9 and 183n3",0,"CSU CO2",0,1543,1572.9,1565.6,29.9,11.158,1315,1752,271.615,0.0142169,"4/6/17","12:10:08",1.401763,"01_05_1_Acquisition_3 ul-0001.dxf",NA
"51","01.05.1","3","18:00",0,"CSU CO2",0,1572.9,1589.4,1579,16.5,10.743,1393,2259,375.38,0.015377,"4/6/17","12:10:08",1.514415,"01_05_1_Acquisition_3 ul-0001.dxf",NA
"60","01.05.1","3","19:0cy",0,"CSU CO2",0,1822.1,1854.7,1844.4,32.6,49.436,4590,5496,1.653,0.0111987,"4/6/17","12:10:08",1.107466,"01_05_1_Acquisition_3 ul-0001.dxf",NA
"61","01.05.1","3","19:00",0,"CSU CO2",0,1854.7,1902.5,1862.4,47.9,18.796,1793,2108,-28.984,0.0108561,"4/6/17","12:10:08",1.073956,"01_05_1_Acquisition_3 ul-0001.dxf",NA
"63","01.05.1","3","20:4n6",0,"CSU CO2",0,1965.4,1978.6,1969.6,13.2,0.419,43,53,1.567,0.0111977,"4/6/17","12:10:08",1.107372,"01_05_1_Acquisition_3 ul-0001.dxf",NA
"64","01.05.1","3","20:5n3",0,"CSU CO2",0,1988.6,2002.8,1994.7,14.2,0.303,32,39,-4.498,0.0111299,"4/6/17","12:10:08",1.10074,"01_05_1_Acquisition_3 ul-0001.dxf",NA
"97","01.13.1","2.5","12:00",0,"CSU CO2",0,682,708.3,686.6,26.3,15.53,3028,3571,-31.013,0.0108335,"5/5/17","12:50:29",1.071736,"01_13_1_Acquisition_2 ul-0001.dxf",NA
"107","01.13.1","2.5","14:00",0,"CSU CO2",0,879.9,890.5,883.9,10.7,1.067,163,199,5.755,0.0112445,"5/5/17","12:50:29",1.11195,"01_13_1_Acquisition_2 ul-0001.dxf",NA
"111","01.13.1","2.5","a15:0",0,"CSU CO2",0,957.4,976,967,18.6,15.64,2631,3162,-8.881,0.0110809,"5/5/17","12:50:29",1.095946,"01_13_1_Acquisition_2 ul-0001.dxf",NA
"115","01.13.1","2.5","15:00",0,"CSU CO2",0,1017.8,1036.8,1022.6,19,1.627,178,214,-13.301,0.0110315,"5/5/17","12:50:29",1.091112,"01_13_1_Acquisition_2 ul-0001.dxf",NA
"119","01.13.1","2.5","16:1n9/i16:0",0,"CSU CO2",0,1157.7,1174,1162.7,16.3,2.254,294,439,223.851,0.0136829,"5/5/17","12:50:29",1.34982,"01_13_1_Acquisition_2 ul-0001.dxf",NA
"121","01.13.1","2.5","16:00",0,"CSU CO2",0,1186.3,1216.2,1193.8,29.9,21.383,2912,3545,12.774,0.011323,"5/5/17","12:50:29",1.119624,"01_13_1_Acquisition_2 ul-0001.dxf",NA
"124","01.13.1","2.5","i17:0",0,"CSU CO2",0,1280.3,1304.8,1284.9,24.5,4.124,445,527,-29.396,0.0108516,"5/5/17","12:50:29",1.073506,"01_13_1_Acquisition_2 ul-0001.dxf",NA
"125","01.13.1","2.5","17:0cy",0,"CSU CO2",0,1304.8,1324.9,1311.5,20.1,5.833,849,1016,-16.705,0.0109934,"5/5/17","12:50:29",1.087389,"01_13_1_Acquisition_2 ul-0001.dxf",NA
"128","01.13.1","2.5","17:00",0,"CSU CO2",0,1381.1,1415.6,1389.8,34.5,5.332,657,778,-27.233,0.0108757,"5/5/17","12:50:29",1.075872,"01_13_1_Acquisition_2 ul-0001.dxf",NA
"132","01.13.1","2.5","trans-18:1n9",0,"CSU CO2",0,1551.2,1572.1,1564.6,20.9,6.115,726,864,-21.929,0.010935,"5/5/17","12:50:29",1.081675,"01_13_1_Acquisition_2 ul-0001.dxf",NA
"133","01.13.1","2.5","18:00",0,"CSU CO2",0,1572.1,1588,1577.5,15.9,5.504,700,850,0.174,0.0111821,"5/5/17","12:50:29",1.105848,"01_13_1_Acquisition_2 ul-0001.dxf",NA
"139","01.13.1","2.5","19:0cy",0,"CSU CO2",0,1820.6,1852.2,1840.5,31.6,24.437,2688,3136,-33.436,0.0108064,"5/5/17","12:50:29",1.069085,"01_13_1_Acquisition_2 ul-0001.dxf",NA
"140","01.13.1","2.5","19:00",0,"CSU CO2",0,1852.2,1897.7,1860.9,45.6,14.658,1543,1810,-32.145,0.0108208,"5/5/17","12:50:29",1.070498,"01_13_1_Acquisition_2 ul-0001.dxf",NA
"142","01.13.1","2.5","20:4n6",0,"CSU CO2",0,1964.6,1978,1968.8,13.4,0.363,38,45,-26.851,0.01088,"5/5/17","12:50:29",1.07629,"01_13_1_Acquisition_2 ul-0001.dxf",NA
"159","01.13.2","2.5","12:00",0,"CSU CO2",0,682.2,701.6,686.8,19.4,22.532,4303,5041,-50.775,0.0106125,"5/11/17","17:39:29",1.050108,"01_13_2_Acquisition_2_5 ul-0000.dxf",NA
"174","01.13.2","2.5","14:00",0,"CSU CO2",0,880.5,889.5,884.3,9,2.888,420,521,17.481,0.0113756,"5/11/17","17:39:29",1.124769,"01_13_2_Acquisition_2_5 ul-0000.dxf",NA
"182","01.13.2","2.5","a15:0",0,"CSU CO2",0,957.8,977.7,967.7,19.9,49.538,6071,7451,7.656,0.0112658,"5/11/17","17:39:29",1.114029,"01_13_2_Acquisition_2_5 ul-0000.dxf",NA
"186","01.13.2","2.5","15:00",0,"CSU CO2",0,1019.7,1039.4,1024.1,19.6,5.305,492,591,-9.002,0.0110796,"5/11/17","17:39:29",1.095814,"01_13_2_Acquisition_2_5 ul-0000.dxf",NA
"200","01.13.2","2.5","16:1n9/i16:0",0,"CSU CO2",0,1160.2,1175.4,1164.8,15.3,2.445,356,844,957.27,0.0218827,"5/11/17","17:39:29",2.141408,"01_13_2_Acquisition_2_5 ul-0000.dxf",NA
"202","01.13.2","2.5","16:00",0,"CSU CO2",0,1188,1214.1,1195.3,26.1,31.755,4285,5651,103.591,0.0123384,"5/11/17","17:39:29",1.218798,"01_13_2_Acquisition_2_5 ul-0000.dxf",NA
"208","01.13.2","2.5","i17:0",0,"CSU CO2",0,1296.8,1309.4,1304.4,12.5,11.204,1696,1984,-24.938,0.0109014,"5/11/17","17:39:29",1.078383,"01_13_2_Acquisition_2_5 ul-0000.dxf",NA
"209","01.13.2","2.5","17:0cy",0,"CSU CO2",0,1309.4,1327.6,1313.6,18.2,10.547,1377,1742,50.189,0.0117413,"5/11/17","17:39:29",1.160506,"01_13_2_Acquisition_2_5 ul-0000.dxf",NA
"213","01.13.2","2.5","17:00",0,"CSU CO2",0,1384.4,1405.9,1392.8,21.5,9.311,1103,1308,-15.932,0.0110021,"5/11/17","17:39:29",1.088235,"01_13_2_Acquisition_2_5 ul-0000.dxf",NA
"223","01.13.2","2.5","trans-18:1n9",0,"CSU CO2",0,1553.7,1574,1566.5,20.3,7.987,913,1101,0.292,0.0111835,"5/11/17","17:39:29",1.105978,"01_13_2_Acquisition_2_5 ul-0000.dxf",NA
"224","01.13.2","2.5","18:00",0,"CSU CO2",0,1574,1590.1,1579.4,16.1,7.323,837,1081,73.693,0.0120041,"5/11/17","17:39:29",1.186171,"01_13_2_Acquisition_2_5 ul-0000.dxf",NA
"235","01.13.2","2.5","19:0cy",0,"CSU CO2",0,1825.2,1853.6,1842.1,28.4,32.807,3449,4011,-30.438,0.0108399,"5/11/17","17:39:29",1.072366,"01_13_2_Acquisition_2_5 ul-0000.dxf",NA
"236","01.13.2","2.5","19:00",0,"CSU CO2",0,1853.6,1882.3,1863,28.6,21.825,2124,2481,-30.585,0.0108383,"5/11/17","17:39:29",1.072205,"01_13_2_Acquisition_2_5 ul-0000.dxf",NA
"241","01.13.2","2.5","20:4n6",0,"CSU CO2",0,1955.2,1978.4,1963.3,23.2,1.252,91,107,-22.933,0.0109238,"5/11/17","17:39:29",1.080576,"01_13_2_Acquisition_2_5 ul-0000.dxf",NA
"242","01.13.2","2.5","20:5n3",0,"CSU CO2",0,1987.6,2024.4,1998,36.8,3.083,273,319,-27.948,0.0108677,"5/11/17","17:39:29",1.07509,"01_13_2_Acquisition_2_5 ul-0000.dxf",NA
"286","01.13.3","2.5","12:00",0,"CSU CO2",0,682.4,701.4,687,19,14.982,2900,3415,-31.141,0.010832,"5/4/17","10:30:35",1.071596,"01_13_3_Acquisition_2_5 ul-0000.dxf",NA
"300","01.13.3","2.5","14:00",0,"CSU CO2",0,880.7,890.1,884.7,9.4,2.528,379,454,-18.416,0.0109743,"5/4/17","10:30:35",1.085518,"01_13_3_Acquisition_2_5 ul-0000.dxf",NA
"308","01.13.3","2.5","a15:0",0,"CSU CO2",0,958.5,978.3,968.7,19.9,37.532,4609,5492,-20.079,0.0109557,"5/4/17","10:30:35",1.083699,"01_13_3_Acquisition_2_5 ul-0000.dxf",NA
"312","01.13.3","2.5","15:00",0,"CSU CO2",0,1020.1,1040,1024.5,19.9,4.031,400,477,-20.629,0.0109496,"5/4/17","10:30:35",1.083097,"01_13_3_Acquisition_2_5 ul-0000.dxf",NA
"322","01.13.3","2.5","16:1n9/i16:0",0,"CSU CO2",0,1160.4,1176.3,1165.6,15.9,2.821,426,560,88.656,0.0121714,"5/4/17","10:30:35",1.202503,"01_13_3_Acquisition_2_5 ul-0000.dxf",NA
"324","01.13.3","2.5","16:00",0,"CSU CO2",0,1188.6,1215.1,1196.7,26.5,29.174,3781,4529,-6.97,0.0111023,"5/4/17","10:30:35",1.098036,"01_13_3_Acquisition_2_5 ul-0000.dxf",NA
"330","01.13.3","2.5","i17:0",0,"CSU CO2",0,1297.7,1310.2,1305.4,12.5,7.677,1132,1325,-32.55,0.0108163,"5/4/17","10:30:35",1.070054,"01_13_3_Acquisition_2_5 ul-0000.dxf",NA
"331","01.13.3","2.5","17:0cy",0,"CSU CO2",0,1310.2,1328.4,1314.6,18.2,8.058,1038,1234,-21.404,0.0109409,"5/4/17","10:30:35",1.082249,"01_13_3_Acquisition_2_5 ul-0000.dxf",NA
"335","01.13.3","2.5","17:00",0,"CSU CO2",0,1385.3,1406.8,1393.6,21.5,6.401,743,876,-27.395,0.0108739,"5/4/17","10:30:35",1.075694,"01_13_3_Acquisition_2_5 ul-0000.dxf",NA
"342","01.13.3","2.5","trans-18:1n9",0,"CSU CO2",0,1553.9,1575.2,1568.1,21.3,8.874,961,1141,-20.238,0.0109539,"5/4/17","10:30:35",1.083525,"01_13_3_Acquisition_2_5 ul-0000.dxf",NA
"343","01.13.3","2.5","18:00",0,"CSU CO2",0,1575.2,1592.2,1581.1,16.9,8.124,943,1133,-8.908,0.0110806,"5/4/17","10:30:35",1.095917,"01_13_3_Acquisition_2_5 ul-0000.dxf",NA
"355","01.13.3","2.5","19:0cy",0,"CSU CO2",0,1826.5,1854.9,1844,28.4,29.943,3022,3515,-34.337,0.0107963,"5/4/17","10:30:35",1.068099,"01_13_3_Acquisition_2_5 ul-0000.dxf",NA
"356","01.13.3","2.5","19:00",0,"CSU CO2",0,1854.9,1882.3,1863.7,27.4,14.084,1407,1645,-33.126,0.0108098,"5/4/17","10:30:35",1.069424,"01_13_3_Acquisition_2_5 ul-0000.dxf",NA
"360","01.13.3","2.5","20:4n6",0,"CSU CO2",0,1956.2,1979.4,1970.7,23.2,0.996,63,74,-36.97,0.0107669,"5/4/17","10:30:35",1.065218,"01_13_3_Acquisition_2_5 ul-0000.dxf",NA
"361","01.13.3","2.5","20:5n3",0,"CSU CO2",0,1988,2007.9,1998.5,19.9,1.886,193,226,-35.259,0.010786,"5/4/17","10:30:35",1.06709,"01_13_3_Acquisition_2_5 ul-0000.dxf",NA
"396","01.05.03","3","12:00",0,"CSU CO2",0,678.6,697.2,683.8,18.6,15.032,2872,3384,-39.489,0.0107387,"4/10/17","16:59:36",1.062461,"01_5_3_Acquisition_3 ul-0001.dxf",NA
"410","01.05.03","3","14:00",0,"CSU CO2",0,878.6,888,882.2,9.4,2.444,364,452,13.485,0.011331,"4/10/17","16:59:36",1.120401,"01_5_3_Acquisition_3 ul-0001.dxf",NA
"417","01.05.03","3","a15:0",0,"CSU CO2",0,956.4,975.8,966.8,19.4,33.172,4372,5277,-9.676,0.011072,"4/10/17","16:59:36",1.095077,"01_5_3_Acquisition_3 ul-0001.dxf",NA
"421","01.05.03","3","15:00",0,"CSU CO2",0,1018,1036.8,1022.2,18.8,3.847,368,455,3.815,0.0112229,"4/10/17","16:59:36",1.10983,"01_5_3_Acquisition_3 ul-0001.dxf",NA
