"","SampleName"
"1","01.05.1"
"2","01.13.1"
"3","01.13.2"
"4","01.13.3"
"5","01.05.3"
"6","10.02.2"
"7","10.02.1"
"8","10.02.3"
"9","11.06.2"
"10","11.10.1"
"11","11.10.3"
"12","11.06.3"
"13","12.09.1"
"14","12.09.2"
"15","12.01.2"
"16","12.01.3"
"17","12.05.2"
"18","12.05.3"
"19","12.09.3"
"20","14.10.3"
"21","14.10.1"
"22","14.10.2"
"23","15.16.2"
"24","17.01.1"
"25","17.01.3"
"26","17.06.1"
"27","17.06.2"
"28","17.01.1b"
"29","17.06.3"
"30","18.05.1"
"31","18.05.2"
"32","18.05.3"
"33","02.10.1"
"34","02.10.3"
"35","02.08.1"
"36","02.08.2"
"37","02.08.3"
"38","20.04.1"
"39","20.04.2"
"40","22.07.2"
"41","22.07.3"
"42","24.02.1"
"43","24.02.2"
"44","24.02.3"
"45","28.01.2"
"46","28.01.3"
"47","03.07.2"
"48","03.07.3"
"49","34.06.1"
"50","34.06.3"
"51","37.04.1"
"52","37.04.2"
"53","37.04.3"
"54","43.02.1"
"55","43.02.2"
"56","43.02.3"
"57","46.03.2"
"58","46.03.3"
"59","48.01.1"
"60","48.01.3"
"61","05.03.1"
"62","05.03.2"
"63","05.03.3"
"64","05.09.2"
"65","05.09.3"
"66","52.04.2"
"67","52.04.1"
"68","52.04.3"
"69","55.11.1"
"70","55.11.2"
"71","58.05.2"
"72","58.05.3"
"73","58.05.1"
"74","06.06.1"
"75","06.06.2"
"76","06.06.3"
"77","63.04.2"
