core_ID,Exclusion,Tree_species,Isotope_label,Tree_DBH,x_plot,y_plot,Slope_cardinal,Slope,Slope_angle ,Depth,Day5_temp_in,Day5_temp_out,GWC,MBC,MBN,MBC_noneg,MBN_noneg,SRL,Dry_root_wt,D7_inc_Co2,D12_inc_Co2,D21_inc_Co2,D42_inc_Co2,D60_inc_Co2,Unsieved_soil_wt,Sieved_soil_wt,Efflux_d1,Efflux_d2,Efflux_d3,Efflux_d4,Efflux_d5,Efflux_d6,Efflux_d7,Efflux_d9,d13_d2,d13_d3,d13_d4,d13_d5,d13_d6,d13_d7,d13_d9,nag,phos,cbh,lap,a_gluc,b_gluc,per_AMF
01_05_1,1,Goeth,L,27.9,3.6,6,N,4.5,0.044969662,5,,,0.30235455,27.01650818,5531.053264,27.01650818,5531.053264,8.293518634,32.2,27.6,68.18469028,73.47725992,191.7469767,46.30025956,333.84,263.5,,1.346274387,,1.914887273,,1.408938551,4.550620489,1.043251652,,,-4.47,,4.81,-0.67,35.15,,,,,,,36
01_05_2,2,Goeth,L,27.9,3.6,6,N,4.5,0.044969662,5,,,0.297504955,-55.28861193,-8175.160387,,,21.67672751,37.8,29.01,73.61792293,42.89878573,163.168064,33.23392575,311.59,278.25,,2.096568775,,2.199966621,,2.920436089,2.518760545,1.817453041,,,-6.77,,-8.63,,-5.96,703.3770005,33.31582912,,,,,24
01_05_3,3,Goeth,L,27.9,3.6,6,N,4.5,0.044969662,7,,,0.304084237,,,,,30.72519149,112.8,104.07,163.8583674,195.6777615,455.3575661,85.16894512,302.15,255.62,,1.506538963,,1.06330838,,1.333208466,2.895538529,0.858654692,,,-12.17,,-10.88,,-12.24,1009.260891,23.14169619,5.185113523,7.792941874,3.60271904,54.94309516,52.94117647
01_11_1,1,Penta,SKIP,7.5,5,9,,0,0,,,,0.234223459,-16.498738,496.6573627,,496.6573627,,103.5,21.41,97.519708,89.63897181,202.9442354,56.93913792,306.58,254.25,,,,,,,,,,,,,,,,453.5600618,13.10143284,5.902277958,,3.491755935,24.65403813,8
01_11_2,2,Penta,SKIP,7.5,5,9,,0,0,,,,0.352224861,70.24184129,1217.293295,70.24184129,1217.293295,31.73907422,25.6,46.66,146.0397582,116.6097665,358.6720052,76.23109533,313.28,271.7,,,,,,,,,,,,,,,,1089.438183,618.9317895,2.31137077,,1.216098379,29.68807699,44
01_11_3,3,Penta,SKIP,7.5,5,9,,0,0,,,,0.27897673,-281.2245512,1451.894872,,1451.894872,20.291342,373.1,78.14,116.0418382,82.1075699,358.35684,56.39876233,377.26,316.77,,,,,,,,,,,,,,,,980.5851833,72.19331283,14.01498974,,24.25244103,75.8269484,32
01_13_1,1,Penta,S,,,,N,5.5,0.054944642,4,,,0.205307012,-71.00577667,-458.6838503,,,34.28906667,16.5,22.55,15.06362576,73.95163508,205.5028277,16.8297296,424.54,337.66,0.855026002,,2.006687248,2.722634818,2.447862652,,,,177.49,6.68,64.29,-4.11,,,,349.6430818,3.487509561,1.278120505,2.751277029,3.396439294,17.08234832,42
01_13_2,2,Penta,S,,,,N,5.5,0.054944642,7,,,0.289115621,-167.3769807,1631.705776,,1631.705776,25.01676296,13.5,12.69,20.22912901,73.15508239,137.4571506,43.2757737,318,269.42,2.693584864,,0.708340704,1.306573537,2.190111954,,,,42.58,-4.41,16.99,48.05,,,,1013.205547,27.15894503,9.650286299,,1.382208005,70.82530586,4
01_13_3,3,Penta,S,,,,N,5.5,0.054944642,5,25.4,25.5,0.224647421,189.1096712,1937.322208,189.1096712,1937.322208,27.50712595,551,22.9,115.8800808,112.2190842,363.1212577,17.81570721,319.58,281.4,4.158697576,,0.817565013,0.953825116,1.562558495,,,,47.49,-10.01,,-2.14,,,,860.8575454,464.2659748,7.396178653,,1.690990805,17.34549126,56
02_05_1,1,Goeth,SW,17.2,16.15,1.8,N,20,0.19739556,7.5,25.7,25.7,0.198875485,-45.71269314,3671.824963,,3671.824963,57.35219364,144.6,21.06,107.3311065,121.1319235,320.867368,75.30031175,207.53,182.29,2.369207232,,1.457256949,1.984928554,3.952008894,,,,-17.97,-18.09,808.8,-17.87,,,,555.8584409,,19.10495413,,2.345940019,39.97733887,62
