"Core_ID","Mesh_Type","Label_Type","Total_13C_FAME_ug","Tree_Species","Total_13C_CO2_ug","Specific_Respiration_CO2_FAME"
"01.05.1",1,"L",833.6013937,"G",1.615951753,0.00193851853561266
"01.05.3",3,"L",599.3451108,"G",1.612161949,0.00268987252911449
"01.13.1",1,"S",614.3133601,"P",0.585659917,0.00095335695923114
"01.13.2",2,"S",774.6070454,"P",1.01329171,0.00130813644933573
"01.13.3",3,"S",409.2280091,"P",0.670519092,0.00163849755414994
"02.08.1",1,"L",632.9798738,"G",2.502413774,0.0039533860041665
"02.08.2",2,"L",1331.56476,"G",2.095992782,0.00157408249674616
"02.08.3",3,"L",2207.035408,"G",2.112960099,0.000957374807554515
"02.10.1",1,"S",541.5267763,"G",1.392754659,0.0025719035880664
"02.10.3",3,"S",521.1407863,"G",0.694299406,0.00133226840856075
"03.07.2",2,"L",448.3482235,"P",1.837165583,0.00409763100801045
"03.07.3",3,"L",705.7683972,"P",2.075681369,0.00294102339695978
"05.03.1",1,"L",682.3806981,"P",1.839057859,0.00269506136987845
"05.03.2",2,"L",709.14842,"P",1.519937603,0.00214332791293535
"05.03.3",3,"L",505.2366265,"P",1.345556013,0.00266321945485478
"05.09.2",2,"L",351.5200457,"P",1.527932324,0.00434664350636775
"05.09.3",3,"L",647.6640173,"P",1.740718644,0.00268768774781832
"06.06.1",1,"L",1436.646308,"P",1.956274608,0.00136169535751871
"06.06.2",2,"L",487.2857962,"P",1.458860592,0.00299385002266971
"06.06.3",3,"L",1888.085023,"P",1.492441311,0.000790452385787502
"10.02.1",1,"S",1042.981164,"G",1.246029978,0.00119468118985129
"10.02.2",2,"S",1003.675937,"G",0.877041968,0.000873829824615991
"10.02.3",3,"S",945.8452375,"G",0.706153289,0.000746584389288105
"11.06.2",2,"S",1044.836132,"G",0.550798228,0.000527162309122748
"11.06.3",3,"S",3286.726157,"G",0.674552451,0.000205235367590133
"11.10.1",1,"L",1060.689932,"G",1.968658454,0.00185601691371574
"11.10.3",3,"L",1625.792461,"G",2.08881272,0.00128479665769591
"12.01.2",2,"L",1493.976847,"G",1.262536575,0.000845084431887451
"12.01.3",3,"L",1696.612994,"G",1.210153009,0.000713275810853539
