Sample ID,Freeze-dried soil weight (g),COMMENTS
205.3,6.040,
1409.1,6.040,
1409.2,6.005,
3310.1,6.032,
01.05.1,6.000,
01.11.2,6.000,
01.13.1,6.074,
01.13.2,6.008,
01.13.3,6.002,
01.5.3,6.090,
02.05.2,6.000,
08.11.1,6.072,
08.11.2,6.011,
08.11.3,6.017,
09.03.03,6.062,
1.11.1,6.002,
1.11.3,5.990,
10.02.2,5.999,
10.04.01,6.000,
10.2.1,5.807,
10.2.3,6.005,
10.4.2,6.020,
10.4.3,6.008,
11.06.2,6.096,Broke in 2nd centrifuge run on 3rd day *
11.10.1,6.056,
11.10.3,6.014,
11.6.2,6.007,
11.6.3,6.012,
12.07.1,6.070,
12.09.1,6.000,
12.09.2,6.020,
12.1.2,6.028,
12.1.3,6.030,
12.5.2,6.037,
12.5.3,5.999,
12.9.3,6.002,
14.09.3,6.125,
14.10.1,6.035,
14.10.2,6.001,
14.10.3,6.039,
15.16.2,6.092,
17.01.1,6.007,
17.01.3,6.062,
17.06.1,6.036,
17.06.2,6.013,
17.1.1,5.999,
17.6.3,6.020,
18.05.1,6.095,
18.05.2,6.008,
18.5.3,6.001,
19.05.3,5.996,
19.5.2,6.009,
2.10.1,6.059,
2.10.2,6.003,
2.10.3,6.002,
2.13.1,6.017,
2.13.2,6.000,
2.13.3,6.007,
2.5.1,6.014,
2.5.1,6.034,
2.8.1,6.004,
2.8.2,6.003,
2.8.3,6.007,Spilled at 3rd step approx. 2 mL
20.04.1,6.000,
20.4.2,5.901,
20.9.1,6.008,
20.9.2,6.000,
20.9.3,6.012,
22.06.2,6.035,
22.6.1,6.000,
22.6.3,6.029,
22.7.2,6.025,
22.7.3,6.022,Sample lost on 3rd centrifuge (sample from 1st and 2nd centrifuge evaporated)
24.2.1,6.060,
24.2.2,6.020,
24.2.3,6.066,
28.1.1,6.009,
28.1.2,6.009,
28.1.3,6.015,
3.7.2,6.051,
3.7.3,6.000,
33.10.2,6.010,
33.10.3,6.074,vial broke in centrifuge
34.06.1,6.000,
34.1.3,6.013,
37.04.1,6.008,
37.4.2,6.007,
37.4.3,5.990,
4.7.2,6.100,
4.7.3,6.005,
43.02.1,6.003,
43.02.2,6.017,
43.02.3,6.000,
43.10.1,6.051,
43.10.2,5.008,lost 1/3 volume during 3rd day extraction
43.10.3,6.025,
46.3.1,6.016,
46.3.2,6.006,
46.3.3,6.003,
48.01.1,6.072,
48.01.3,6.032,
5.11.6,6.003,
5.3.1,6.009,
5.3.2,6.034,
5.3.3,6.004,
5.9.2,6.032,
5.9.3,6.007,
52.04.2,6.007,
52.04.3,6.054,
52.4.1,6.000,
55.11.2,6.000,
58.05.2,6.064,
58.05.3,6.030,
58.5.1,6.030,
6.6.1,6.000,
6.6.2,6.000,
6.6.3,6.000,
63.04.1,6.004,vial broke in centrifuge
63.4.2,6.000,"DATA MISSING, ASSUME 6"
9.1.1,6.039,
9.1.2,5.998,
9.1.3,6.062,"Broke in 2nd centrifuge run on 3rd day, remainder of sample transferred to new conicle tube and went through all of cycle"
9.3.1,6.001,
9.3.2,6.009,
9.6.1,6.007,
9.6.3,6.052,
UNKNOWN 10.25.16,6.012,"Unknown sample in soil weight sheet, possibly 55.11.1"
