"","ID","SampleName","InjectionVol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C"
"1",1,"01.05.1","3","12:00",0,17.873,-31.002,1.071749,"NA"
"2",2,"01.05.1","3","14:00",0,1.598,107.832,1.223426,"NA"
"3",3,"01.05.1","3","a15:0",0,27.59,37.836,1.147012,"0.7494"
"4",4,"01.05.1","3","15:00",0,2.95,72.745,1.185137,"NA"
"5",5,"01.05.1","3","16:1n9/i16:0",0,4.342,313.808,1.447601,"0.7606"
"6",6,"01.05.1","3","16:00",0,39.344,361.223,1.499061,"NA"
"7",7,"01.05.1","3","i17:0",0,5.433,-37.937,1.06416,"0.76"
"8",8,"01.05.1","3","17:0cy",0,10.32,31.745,1.140358,"0.7654"
"9",9,"01.05.1","3","17:00",0,8.088,16.366,1.12355,"NA"
"10",10,"01.05.1","3","18:2n9,12 and cis-18:1n9 and 183n3",0,11.158,271.615,1.401763,"NA"
"11",11,"01.05.1","3","18:00",0,10.743,375.38,1.514415,"NA"
"12",12,"01.05.1","3","19:0cy",0,49.436,1.653,1.107466,"0.7736"
"13",13,"01.05.1","3","19:00",0,18.796,-28.984,1.073956,"NA"
"14",14,"01.05.1","3","20:4n6",0,0.419,1.567,1.107372,"0.7919"
"15",15,"01.05.1","3","20:5n3",0,0.303,-4.498,1.10074,"0.797"
"16",16,"01.13.1","2.5","12:00",0,15.53,-31.013,1.071736,"NA"
"17",17,"01.13.1","2.5","14:00",0,1.067,5.755,1.11195,"NA"
"18",18,"01.13.1","2.5","a15:0",0,15.64,-8.881,1.095946,"0.7494"
"19",19,"01.13.1","2.5","15:00",0,1.627,-13.301,1.091112,"NA"
"20",20,"01.13.1","2.5","16:1n9/i16:0",0,2.254,223.851,1.34982,"0.7606"
"21",21,"01.13.1","2.5","16:00",0,21.383,12.774,1.119624,"NA"
"22",22,"01.13.1","2.5","i17:0",0,4.124,-29.396,1.073506,"0.76"
"23",23,"01.13.1","2.5","17:0cy",0,5.833,-16.705,1.087389,"0.7654"
"24",24,"01.13.1","2.5","17:00",0,5.332,-27.233,1.075872,"NA"
"25",25,"01.13.1","2.5","trans-18:1n9",0,6.115,-21.929,1.081675,"0.7697"
"26",26,"01.13.1","2.5","18:00",0,5.504,0.174,1.105848,"NA"
"27",27,"01.13.1","2.5","19:0cy",0,24.437,-33.436,1.069085,"0.7736"
"28",28,"01.13.1","2.5","19:00",0,14.658,-32.145,1.070498,"NA"
"29",29,"01.13.1","2.5","20:4n6",0,0.363,-26.851,1.07629,"0.7919"
"30",30,"01.13.2","2.5","12:00",0,22.532,-50.775,1.050108,"NA"
"31",31,"01.13.2","2.5","14:00",0,2.888,17.481,1.124769,"NA"
"32",32,"01.13.2","2.5","a15:0",0,49.538,7.656,1.114029,"0.7494"
"33",33,"01.13.2","2.5","15:00",0,5.305,-9.002,1.095814,"NA"
