"ID","SampleName","InjectionVol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C","Dry_Soil_Mass_g","ug_C","Peak_Area_C_ratio"
1,"01.05.1",3,"12:0",0,17.873,-31.002,1.071749,0.7285,6,54.6375,0.3271
13,"01.05.1",3,"19:0",0,18.796,-28.984,1.073956,0.8216,6,61.62,0.305
16,"01.13.1",2,"12:0",0,15.53,-31.013,1.071736,0.7285,6.074,36.425,0.4264
28,"01.13.1",2,"19:0",0,14.658,-32.145,1.070498,0.8216,6.074,41.08,0.3568
30,"01.13.2",2,"12:0",0,22.532,-50.775,1.050108,0.7285,6.008,36.425,0.6186
42,"01.13.2",2,"19:0",0,21.825,-30.585,1.072205,0.8216,6.008,41.08,0.5313
45,"01.13.3",2,"12:0",0,14.982,-31.141,1.071596,0.7285,6.002,36.425,0.4113
57,"01.13.3",2,"19:0",0,14.084,-33.126,1.069424,0.8216,6.002,41.08,0.3428
60,"01.05.3",3,"12:0",0,15.032,-39.489,1.062461,0.7285,6.09,54.6375,0.2751
72,"01.05.3",3,"19:0",0,16.412,-30.499,1.072298,0.8216,6.09,61.62,0.2663
75,"10.02.2",3,"12:0",0,17.417,-31.144,1.071593,0.7285,5.999,54.6375,0.3188
86,"10.02.2",3,"19:0",0,17.906,-33.295,1.06924,0.8216,5.999,61.62,0.2906
89,"10.02.1",3,"12:0",0,16.051,-30.602,1.072186,0.7285,5.807,54.6375,0.2938
101,"10.02.1",3,"19:0",0,16.933,-34.419,1.068009,0.8216,5.807,61.62,0.2748
103,"10.02.3",1,"12:0",0,13.172,-30.958,1.071797,0.7285,6.005,18.2125,0.7232
115,"10.02.3",1,"19:0",0,13.445,-33.419,1.069104,0.8216,6.005,20.54,0.6546
117,"11.06.2",3,"12:0",0,15.588,-31.606,1.071088,0.7285,6.007,54.6375,0.2853
129,"11.06.2",3,"19:0",0,15.921,-33.195,1.069349,0.8216,6.007,61.62,0.2584
132,"11.10.1",2,"12:0",0,13.502,-30.343,1.072469,0.7285,6.056,36.425,0.3707
144,"11.10.1",2,"19:0",0,14.435,-29.674,1.073202,0.8216,6.056,41.08,0.3514
147,"11.10.3",2,"12:0",0,14.193,-30.625,1.072161,0.7285,6.014,36.425,0.3896
159,"11.10.3",2,"19:0",0,17.192,-33.058,1.069499,0.8216,6.014,41.08,0.4185
162,"11.06.2",3,"12:0",0,16.694,-30.335,1.072478,0.7285,6.007,54.6375,0.3055
174,"11.06.2",3,"19:0",0,15.07,-32.722,1.069866,0.8216,6.007,61.62,0.2446
177,"11.06.3",1,"12:0",0,13.145,-30.895,1.071865,0.7285,6.012,18.2125,0.7218
189,"11.06.3",1,"19:0",0,13.124,-33.926,1.068548,0.8216,6.012,20.54,0.6389
192,"11.06.3",2,"12:0",0,24.909,-29.832,1.073029,0.7285,6.012,36.425,0.6838
204,"11.06.3",2,"19:0",0,23.9,-31.897,1.070769,0.8216,6.012,41.08,0.5818
207,"12.09.1",2,"12:0",0,14.344,-30.397,1.07241,0.7285,6,36.425,0.3938
219,"12.09.1",2,"19:0",0,14.572,-32.249,1.070383,0.8216,6,41.08,0.3547
221,"12.09.2",2,"12:0",0,13.461,-30.251,1.07257,0.7285,6.02,36.425,0.3696
233,"12.09.2",2,"19:0",0,13.434,-26.74,1.076411,0.8216,6.02,41.08,0.327
235,"12.01.2",3,"12:0",0,15.302,-30.638,1.072147,0.7285,6.028,54.6375,0.2801
247,"12.01.2",3,"19:0",0,15.959,-31.251,1.071476,0.8216,6.028,61.62,0.259
250,"12.01.3",2,"12:0",0,14.104,-30.967,1.071786,0.7285,6.03,36.425,0.3872
262,"12.01.3",2,"19:0",0,13.546,-31.688,1.070997,0.8216,6.03,41.08,0.3297
265,"12.05.2",3,"12:0",0,15.94,-30.573,1.072217,0.7285,6.037,54.6375,0.2917
277,"12.05.2",3,"19:0",0,16.01,-29.087,1.073844,0.8216,6.037,61.62,0.2598
279,"12.05.3",2,"12:0",0,12.291,-42.653,1.058998,0.7285,5.999,36.425,0.3374
291,"12.05.3",2,"19:0",0,11.059,-31.359,1.071357,0.8216,5.999,41.08,0.2692
