"","Sample_Name","Soil_weight_g"
"1","01.05.1",6
"2","01.13.1",6.074
"3","01.13.2",6.008
"4","01.13.3",6.002
"5","01.05.3",6.09
"6","10.02.2",5.999
"7","10.02.1",5.807
"8","10.02.3",6.005
"9","11.06.2",6.007
"10","11.06.2",6.007
"11","11.10.3",6.014
"12","11.06.3",6.012
"13","12.09.1",6
"14","12.09.2",6.02
"15","12.01.2",6.028
"16","12.01.3",6.03
"17","12.05.2",6.037
"18","12.05.3",5.999
"19","12.09.3",6.002
"20","14.10.3",6.039
"21","14.10.1",6.035
"22","14.10.2",6.001
"23","15.16.2",6.092
"24","17.01.1",6.007
"25","17.01.3",6.062
"26","17.06.1",6.036
"27","17.06.2",6.013
"28","17.01.1b",5.999
"29","02.08.1",6.004
"30","02.08.2",6.003
"31","02.08.3",6.007
"32","02.10.1",6.059
"33","02.10.3",6.002
"34","03.07.2",6.051
"35","03.07.3",6
"36","05.03.1",6.009
"37","05.03.2",6.034
"38","05.03.3",6.004
"39","05.09.2",6.032
"40","05.09.3",6.007
"41","06.06.1",6
"42","06.06.2",6
"43","06.06.3",6
"44","11.1.1",6.056
"45","17.06.3",6.02
"46","18.05.1",6.095
"47","18.05.2",6.008
"48","18.05.3",6.001
"49","20.04.1",6
"50","20.04.2",5.901
"51","22.07.2",6.025
"52","22.07.3",6.022
"53","24.02.1",6.06
"54","24.02.2",6.02
"55","24.02.3",6.066
"56","28.01.2",6.009
"57","28.01.3",6.015
"58","34.06.1",6
"59","34.06.3",6.013
"60","37.04.1",6.008
"61","37.04.2",6.007
"62","37.04.3",5.99
"63","43.02.1",6.003
"64","43.02.2",6.017
"65","43.02.3",6
"66","46.03.2",6.006
"67","46.03.3",6.003
"68","48.01.1",6.072
"69","48.01.3",6.032
"70","52.04.1",6
"71","52.04.2",6.007
"72","52.04.3",6.054
"73","55.11.1",6.012
"74","55.11.2",6
"75","58.05.1",6.03
"76","58.05.2",6.064
"77","58.05.3",6.03
"78","63.04.2",6
