"ID","SampleName","Injection_vol_ul","FAME_compound","Sample_Dilution","Peak_Area","d13","Atom_per_13C","FAME_per_C","Dry_Soil_Mass_g","ID.1","SampleName.1","Injection_vol_ul.1","FAME_compound.1","Sample_Dilution.1","Peak_Area.1","d13.1","Atom_per_13C.1","FAME_per_C.1","Dry_Soil_Mass_g.1","StandardRatio","ugC_FAME_compound","Total_C_ug"
1,"01.05.1",3,"12:0",0,17.873,-31.002,1.071749,0.7285,6,1,"01.05.1",3,"12:0",0,17.873,-31.002,1.071749,0.7285,6,0.31605,56.5512,5655.12
2,"01.05.1",3,"14:0",0,1.598,107.832,1.223426,0.7432,6,2,"01.05.1",3,"14:0",0,1.598,107.832,1.223426,0.7432,6,0.31605,5.0562,505.62
3,"01.05.1",3,"a15:0",0,27.59,37.836,1.147012,0.7494,6,3,"01.05.1",3,"a15:0",0,27.59,37.836,1.147012,0.7494,6,0.31605,87.2963,8729.63
4,"01.05.1",3,"15:0",0,2.95,72.745,1.185137,0.7494,6,4,"01.05.1",3,"15:0",0,2.95,72.745,1.185137,0.7494,6,0.31605,9.334,933.4
5,"01.05.1",3,"16:1n9/i16:0",0,4.342,313.808,1.447601,0.7606,6,5,"01.05.1",3,"16:1n9/i16:0",0,4.342,313.808,1.447601,0.7606,6,0.31605,13.7383,1373.83
6,"01.05.1",3,"16:1w5",0,5.795,76.551,1.189291,0.7554,6,6,"01.05.1",3,"16:1w5",0,5.795,76.551,1.189291,0.7554,6,0.31605,18.3357,1833.57
7,"01.05.1",3,"16:0",0,39.344,361.223,1.499061,0.755,6,7,"01.05.1",3,"16:0",0,39.344,361.223,1.499061,0.755,6,0.31605,124.4866,12448.66
8,"01.05.1",3,"i17:0",0,5.433,-37.937,1.06416,0.76,6,8,"01.05.1",3,"i17:0",0,5.433,-37.937,1.06416,0.76,6,0.31605,17.1903,1719.03
9,"01.05.1",3,"17:0cy",0,10.32,31.745,1.140358,0.7654,6,9,"01.05.1",3,"17:0cy",0,10.32,31.745,1.140358,0.7654,6,0.31605,32.6531,3265.31
10,"01.05.1",3,"17:0",0,8.088,16.366,1.12355,0.76,6,10,"01.05.1",3,"17:0",0,8.088,16.366,1.12355,0.76,6,0.31605,25.5909,2559.09
11,"01.05.1",3,"18:3n6",0,0.652,69.992,1.18213,0.7765,6,11,"01.05.1",3,"18:3n6",0,0.652,69.992,1.18213,0.7765,6,0.31605,2.063,206.3
12,"01.05.1",3,"18:2n9,12 and cis-18:1n9 and 183n3",0,11.158,271.615,1.401763,0.775,6,12,"01.05.1",3,"18:2n9,12 and cis-18:1n9 and 183n3",0,11.158,271.615,1.401763,0.775,6,0.31605,35.3045,3530.45
13,"01.05.1",3,"18:0",0,10.743,375.38,1.514415,0.7645,6,13,"01.05.1",3,"18:0",0,10.743,375.38,1.514415,0.7645,6,0.31605,33.9915,3399.15
14,"01.05.1",3,"19:0cy",0,49.436,1.653,1.107466,0.7736,6,14,"01.05.1",3,"19:0cy",0,49.436,1.653,1.107466,0.7736,6,0.31605,156.4183,15641.83
15,"01.05.1",3,"19:0",0,18.796,-28.984,1.073956,0.8216,6,15,"01.05.1",3,"19:0",0,18.796,-28.984,1.073956,0.8216,6,0.31605,59.4716,5947.16
16,"01.05.1",3,"20:4n6",0,0.419,1.567,1.107372,0.7919,6,16,"01.05.1",3,"20:4n6",0,0.419,1.567,1.107372,0.7919,6,0.31605,1.3257,132.57
17,"01.05.1",3,"20:5n3",0,0.303,-4.498,1.10074,0.797,6,17,"01.05.1",3,"20:5n3",0,0.303,-4.498,1.10074,0.797,6,0.31605,0.9587,95.87
18,"01.05.3",3,"12:0",0,15.032,-39.489,1.062461,0.7285,6.09,18,"01.05.3",3,"12:0",0,15.032,-39.489,1.062461,0.7285,6.09,0.37705,39.8674,3986.74
19,"01.05.3",3,"14:0",0,2.444,13.485,1.120401,0.7432,6.09,19,"01.05.3",3,"14:0",0,2.444,13.485,1.120401,0.7432,6.09,0.37705,6.4819,648.19
20,"01.05.3",3,"a15:0",0,33.172,-9.676,1.095077,0.7494,6.09,20,"01.05.3",3,"a15:0",0,33.172,-9.676,1.095077,0.7494,6.09,0.37705,87.9777,8797.77
21,"01.05.3",3,"15:0",0,3.847,3.815,1.10983,0.7494,6.09,21,"01.05.3",3,"15:0",0,3.847,3.815,1.10983,0.7494,6.09,0.37705,10.2029,1020.29
22,"01.05.3",3,"16:1n9/i16:0",0,4.681,73.656,1.186131,0.7606,6.09,22,"01.05.3",3,"16:1n9/i16:0",0,4.681,73.656,1.186131,0.7606,6.09,0.37705,12.4148,1241.48
23,"01.05.3",3,"16:1w5",0,6.258,-0.112,1.105536,0.7554,6.09,23,"01.05.3",3,"16:1w5",0,6.258,-0.112,1.105536,0.7554,6.09,0.37705,16.5973,1659.73
24,"01.05.3",3,"16:0",0,38.88,84.488,1.197955,0.755,6.09,24,"01.05.3",3,"16:0",0,38.88,84.488,1.197955,0.755,6.09,0.37705,103.1163,10311.63
25,"01.05.3",3,"i17:0",0,4.478,-32.868,1.069706,0.76,6.09,25,"01.05.3",3,"i17:0",0,4.478,-32.868,1.069706,0.76,6.09,0.37705,11.8764,1187.64
26,"01.05.3",3,"17:0cy",0,9.659,-7.906,1.097013,0.7654,6.09,26,"01.05.3",3,"17:0cy",0,9.659,-7.906,1.097013,0.7654,6.09,0.37705,25.6173,2561.73
27,"01.05.3",3,"17:0",0,7.109,-12.531,1.091955,0.76,6.09,27,"01.05.3",3,"17:0",0,7.109,-12.531,1.091955,0.76,6.09,0.37705,18.8543,1885.43
28,"01.05.3",3,"18:3n6",0,0.806,2.656,1.108563,0.7765,6.09,28,"01.05.3",3,"18:3n6",0,0.806,2.656,1.108563,0.7765,6.09,0.37705,2.1376,213.76
29,"01.05.3",3,"trans-18:1n9",0,10.936,49.735,1.16001,0.7697,6.09,29,"01.05.3",3,"trans-18:1n9",0,10.936,49.735,1.16001,0.7697,6.09,0.37705,29.0041,2900.41
30,"01.05.3",3,"18:0",0,9.96,86.393,1.200033,0.7645,6.09,30,"01.05.3",3,"18:0",0,9.96,86.393,1.200033,0.7645,6.09,0.37705,26.4156,2641.56
31,"01.05.3",3,"19:0cy",0,35.779,-20.159,1.083611,0.7736,6.09,31,"01.05.3",3,"19:0cy",0,35.779,-20.159,1.083611,0.7736,6.09,0.37705,94.8919,9489.19
32,"01.05.3",3,"19:0",0,16.412,-30.499,1.072298,0.8216,6.09,32,"01.05.3",3,"19:0",0,16.412,-30.499,1.072298,0.8216,6.09,0.37705,43.5274,4352.74
33,"01.05.3",3,"20:4n6",0,1.217,3.182,1.109138,0.7919,6.09,33,"01.05.3",3,"20:4n6",0,1.217,3.182,1.109138,0.7919,6.09,0.37705,3.2277,322.77
34,"01.05.3",3,"20:5n3",0,1.141,-23.857,1.079566,0.797,6.09,34,"01.05.3",3,"20:5n3",0,1.141,-23.857,1.079566,0.797,6.09,0.37705,3.0261,302.61
35,"01.13.1",2.5,"12:0",0,15.53,-31.013,1.071736,0.7285,6.074,35,"01.13.1",2.5,"12:0",0,15.53,-31.013,1.071736,0.7285,6.074,0.2707,57.3698,6884.38
36,"01.13.1",2.5,"14:0",0,1.067,5.755,1.11195,0.7432,6.074,36,"01.13.1",2.5,"14:0",0,1.067,5.755,1.11195,0.7432,6.074,0.2707,3.9416,472.99
37,"01.13.1",2.5,"a15:0",0,15.64,-8.881,1.095946,0.7494,6.074,37,"01.13.1",2.5,"a15:0",0,15.64,-8.881,1.095946,0.7494,6.074,0.2707,57.7761,6933.13
38,"01.13.1",2.5,"15:0",0,1.627,-13.301,1.091112,0.7494,6.074,38,"01.13.1",2.5,"15:0",0,1.627,-13.301,1.091112,0.7494,6.074,0.2707,6.0103,721.24
39,"01.13.1",2.5,"16:1n9/i16:0",0,2.254,223.851,1.34982,0.7606,6.074,39,"01.13.1",2.5,"16:1n9/i16:0",0,2.254,223.851,1.34982,0.7606,6.074,0.2707,8.3266,999.19
40,"01.13.1",2.5,"16:1w5",0,2.712,-3.955,1.101334,0.7554,6.074,40,"01.13.1",2.5,"16:1w5",0,2.712,-3.955,1.101334,0.7554,6.074,0.2707,10.0185,1202.22
41,"01.13.1",2.5,"16:0",0,21.383,12.774,1.119624,0.755,6.074,41,"01.13.1",2.5,"16:0",0,21.383,12.774,1.119624,0.755,6.074,0.2707,78.9915,9478.98
42,"01.13.1",2.5,"i17:0",0,4.124,-29.396,1.073506,0.76,6.074,42,"01.13.1",2.5,"i17:0",0,4.124,-29.396,1.073506,0.76,6.074,0.2707,15.2346,1828.15
43,"01.13.1",2.5,"17:0cy",0,5.833,-16.705,1.087389,0.7654,6.074,43,"01.13.1",2.5,"17:0cy",0,5.833,-16.705,1.087389,0.7654,6.074,0.2707,21.5478,2585.74
44,"01.13.1",2.5,"17:0",0,5.332,-27.233,1.075872,0.76,6.074,44,"01.13.1",2.5,"17:0",0,5.332,-27.233,1.075872,0.76,6.074,0.2707,19.6971,2363.65
45,"01.13.1",2.5,"18:3n6",0,0.414,-22.638,1.0809,0.7765,6.074,45,"01.13.1",2.5,"18:3n6",0,0.414,-22.638,1.0809,0.7765,6.074,0.2707,1.5294,183.53
46,"01.13.1",2.5,"trans-18:1n9",0,6.115,-21.929,1.081675,0.7697,6.074,46,"01.13.1",2.5,"trans-18:1n9",0,6.115,-21.929,1.081675,0.7697,6.074,0.2707,22.5896,2710.75
47,"01.13.1",2.5,"18:0",0,5.504,0.174,1.105848,0.7645,6.074,47,"01.13.1",2.5,"18:0",0,5.504,0.174,1.105848,0.7645,6.074,0.2707,20.3325,2439.9
48,"01.13.1",2.5,"19:0cy",0,24.437,-33.436,1.069085,0.7736,6.074,48,"01.13.1",2.5,"19:0cy",0,24.437,-33.436,1.069085,0.7736,6.074,0.2707,90.2734,10832.81
49,"01.13.1",2.5,"19:0",0,14.658,-32.145,1.070498,0.8216,6.074,49,"01.13.1",2.5,"19:0",0,14.658,-32.145,1.070498,0.8216,6.074,0.2707,54.1485,6497.82
50,"01.13.1",2.5,"20:4n6",0,0.363,-26.851,1.07629,0.7919,6.074,50,"01.13.1",2.5,"20:4n6",0,0.363,-26.851,1.07629,0.7919,6.074,0.2707,1.341,160.92
51,"01.13.2",2.5,"12:0",0,22.532,-50.775,1.050108,0.7285,6.008,51,"01.13.2",2.5,"12:0",0,22.532,-50.775,1.050108,0.7285,6.008,0.3916,57.5383,6904.6
52,"01.13.2",2.5,"14:0",0,2.888,17.481,1.124769,0.7432,6.008,52,"01.13.2",2.5,"14:0",0,2.888,17.481,1.124769,0.7432,6.008,0.3916,7.3749,884.99
53,"01.13.2",2.5,"a15:0",0,49.538,7.656,1.114029,0.7494,6.008,53,"01.13.2",2.5,"a15:0",0,49.538,7.656,1.114029,0.7494,6.008,0.3916,126.5015,15180.18
54,"01.13.2",2.5,"15:0",0,5.305,-9.002,1.095814,0.7494,6.008,54,"01.13.2",2.5,"15:0",0,5.305,-9.002,1.095814,0.7494,6.008,0.3916,13.547,1625.64
55,"01.13.2",2.5,"16:1n9/i16:0",0,2.445,957.27,2.141408,0.7606,6.008,55,"01.13.2",2.5,"16:1n9/i16:0",0,2.445,957.27,2.141408,0.7606,6.008,0.3916,6.2436,749.23
56,"01.13.2",2.5,"16:1w5",0,4.518,-70.389,1.028633,0.7554,6.008,56,"01.13.2",2.5,"16:1w5",0,4.518,-70.389,1.028633,0.7554,6.008,0.3916,11.5373,1384.48
57,"01.13.2",2.5,"16:0",0,31.755,103.591,1.218798,0.755,6.008,57,"01.13.2",2.5,"16:0",0,31.755,103.591,1.218798,0.755,6.008,0.3916,81.0904,9730.85
58,"01.13.2",2.5,"i17:0",0,11.204,-24.938,1.078383,0.76,6.008,58,"01.13.2",2.5,"i17:0",0,11.204,-24.938,1.078383,0.76,6.008,0.3916,28.6108,3433.3
59,"01.13.2",2.5,"17:0cy",0,10.547,50.189,1.160506,0.7654,6.008,59,"01.13.2",2.5,"17:0cy",0,10.547,50.189,1.160506,0.7654,6.008,0.3916,26.9331,3231.97
