"Sample_Name","Tree","Rhizosphere_Manipulation","Microbial_Group","umol_FAME","ln_FAME"
"01.05.1","G","1","AMF",1.59011,0.463803196229086
"01.05.3","G","3","AMF",1.41808,0.349303844007951
"01.13.1","P","1","AMF",1.28736,0.252593609779286
"01.13.2","P","2","AMF",1.49882,0.404678131856905
"01.13.3","P","3","AMF",0.91466,-0.0892028674607708
"02.08.1","G","1","AMF",1.14893,0.138831074469425
"02.08.2","G","2","AMF",3.5999,1.28090606729848
"02.08.3","G","3","AMF",6.62071,1.89020261495325
"02.10.1","G","1","AMF",1.36769,0.313123185333709
"02.10.3","G","3","AMF",1.08558,0.082114406376923
"03.07.2","P","2","AMF",0.90744,-0.0971278307313499
"03.07.3","P","3","AMF",2.89349,1.06246338600367
"05.03.1","P","1","AMF",1.24364,0.218042563368367
"05.03.2","P","2","AMF",1.46759,0.383621599630041
"05.03.3","P","3","AMF",1.44526,0.368289236174639
"05.09.2","P","2","AMF",0.89615,-0.109647469304531
"05.09.3","P","3","AMF",1.53588,0.429103506673564
"06.06.1","P","1","AMF",4.80144,1.56891587292284
"06.06.2","P","2","AMF",1.23379,0.210090732719219
"06.06.3","P","3","AMF",5.17132,1.64312797508089
"10.02.1","G","1","AMF",2.89574,1.06324069148757
"10.02.2","G","2","AMF",2.94378,1.07969446981346
"10.02.3","G","3","AMF",4.6456,1.5359205350757
"11.06.2","G","2","AMF",1.59282,0.465506030193286
"11.06.3","G","3","AMF",5.55086,1.71395287070902
"11.10.1","G","1","AMF",3.33644,1.2049043702836
"11.10.3","G","3","AMF",5.64002,1.72988761160297
"12.01.2","G","2","AMF",3.27002,1.18479610109841
"12.01.3","G","3","AMF",5.60454,1.7235769835755
"12.05.2","G","2","AMF",1.42222,0.352219031088131
"12.05.3","G","3","AMF",0.73215,-0.311769867980871
"12.09.1","G","1","AMF",6.08703,1.80616027803587
"12.09.2","G","2","AMF",2.63495,0.968864206481223
"12.09.3","G","3","AMF",3.75543,1.32320279264123
"14.10.1","G","1","AMF",1.36926,0.314270447923237
"14.10.2","G","2","AMF",1.37845,0.3209596795145
"14.10.3","G","3","AMF",1.29136,0.255695926593925
"15.16.2","P","2","AMF",0,-Inf
"17.01.1","G","1","AMF",1.7509,0.560129941450134
"17.01.1b","G","1","AMF",0.83214,-0.183754583085838
"17.01.3","G","3","AMF",0.88828,-0.118468270376078
"17.06.1","P","1","AMF",1.78738,0.580750860465381
"17.06.2","P","2","AMF",1.85492,0.61784156844478
"17.06.3","P","3","AMF",1.42847,0.356603941418113
"18.05.1","P","1","AMF",1.504,0.408128225527648
"18.05.2","P","2","AMF",4.16415,1.42651217315866
"18.05.3","P","3","AMF",2.45597,0.898521795226579
"20.04.1","P","1","AMF",1.00437,0.00436047927696234
"20.04.2","P","2","AMF",1.40349,0.338961991749885
"22.07.2","G","2","AMF",4.54498,1.51402332717972
"22.07.3","G","3","AMF",2.9748,1.09017680984701
"24.02.1","G","1","AMF",2.85366,1.04860238091383
"24.02.2","G","2","AMF",2.37461,0.864833213476264
"24.02.3","G","3","AMF",2.56418,0.941638739402434
"28.01.2","P","2","AMF",0.50295,-0.68726451740179
"28.01.3","P","3","AMF",2.11517,0.749135187518674
"34.06.1","G","1","AMF",4.94738,1.59885814352636
"34.06.3","G","3","AMF",1.74196,0.555010916054163
"37.04.1","P","1","AMF",1.89354,0.638448093037562
"37.04.2","P","2","AMF",3.89071,1.35859166025594
"37.04.3","P","3","AMF",2.04261,0.714228401871017
"43.02.1","G","1","AMF",1.06846,0.0662183594188698
"43.02.2","G","2","AMF",2.14904,0.765021230795663
"43.02.3","G","3","AMF",1.76682,0.56918132057655
"46.03.2","P","2","AMF",0.35144,-1.04571627931461
"46.03.3","P","3","AMF",1.8494,0.614861262161401
"48.01.1","G","1","AMF",1.86816,0.624953989243558
"48.01.3","G","3","AMF",2.41588,0.882063609964857
"52.04.1","P","1","AMF",1.73368,0.550246316921938
"52.04.2","P","2","AMF",1.06735,0.0651789410249712
"52.04.3","P","3","AMF",0.8683,-0.141218001915538
"55.11.1","P","1","AMF",1.69609,0.528325601999495
"55.11.2","P","2","AMF",3.91646,1.36518818457244
"58.05.1","P","1","AMF",1.35531,0.30403021045281
"58.05.2","P","2","AMF",1.0924,0.0883771106174129
"58.05.3","P","3","AMF",2.84267,1.04474375136257
"63.04.2","P","2","AMF",2.24063,0.806757076323581
"01.05.1","G","1","BACTERIA",23.38737,3.15219613305991
"01.05.3","G","3","BACTERIA",17.84991,2.88199846619613
"01.13.1","P","1","BACTERIA",21.91367,3.08711064300334
"01.13.2","P","2","BACTERIA",32.31988,3.47568252077471
"01.13.3","P","3","BACTERIA",17.67178,2.87196901696835
"02.08.1","G","1","BACTERIA",17.66141,2.87138203343826
"02.08.2","G","2","BACTERIA",42.01621,3.73805549620386
"02.08.3","G","3","BACTERIA",73.42401,4.29625099384772
"02.10.1","G","1","BACTERIA",19.59093,2.97506670403025
"02.10.3","G","3","BACTERIA",16.95816,2.83074913391219
"03.07.2","P","2","BACTERIA",14.58733,2.68015334373157
