"Sample_Name","Tree","Rhizosphere_Manipulation","Microbial_Group","umol_FAME","ln_FAME","Mean_Respiration","Specific_Respiration_CO2_FAME"
"01.05.1","G","1","ALL_MICROBES",43.75892,3.77869547773604,2.0527944704,0.0469114518914086
"01.05.3","G","3","ALL_MICROBES",35.01171,3.55568257696145,1.531449806,0.043741074229165
"01.13.1","P","1","ALL_MICROBES",41.26751,3.72007550756097,2.00805268,0.048659409787506
"01.13.2","P","2","ALL_MICROBES",54.91933,4.00586538126235,1.72465276475,0.0314033831940412
"01.13.3","P","3","ALL_MICROBES",31.33967,3.4448847071979,1.87316155,0.0597696641349446
"02.08.1","G","1","ALL_MICROBES",33.24757,3.50398168172443,0.8616441704,0.02591600439972
"02.08.2","G","2","ALL_MICROBES",82.58138,4.41378423138637,1.2290539016,0.0148829421547569
"02.08.3","G","3","ALL_MICROBES",146.78302,4.98895544191547,4.8635030104,0.0331339620236728
"02.10.1","G","1","ALL_MICROBES",38.18914,3.64255118199984,1.481404948,0.0387912623326946
"02.10.3","G","3","ALL_MICROBES",31.55519,3.45173807625084,3.1587086565,0.100101081834716
"03.07.2","P","2","ALL_MICROBES",26.26747,3.2683312914844,1.689910337,0.0643347203594408
"03.07.3","P","3","ALL_MICROBES",57.44792,4.05087879824334,5.2115354818,0.0907175661329427
"05.03.1","P","1","ALL_MICROBES",41.10492,3.71612782236695,1.0592761012,0.0257700562657706
"05.03.2","P","2","ALL_MICROBES",40.93071,3.71188063704333,1.3144459816,0.0321139306305705
"05.03.3","P","3","ALL_MICROBES",41.04131,3.71457912043105,1.1350381658,0.0276559926035499
"05.09.2","P","2","ALL_MICROBES",22.02744,3.09228894888715,2.4435486336,0.110932029940837
"05.09.3","P","3","ALL_MICROBES",40.4828,3.70087719254755,2.1537094688,0.0532006054126691
"06.06.1","P","1","ALL_MICROBES",109.97441,4.70024770236474,4.3242517358,0.0393205268007348
"06.06.2","P","2","ALL_MICROBES",29.55379,3.38621199281906,1.762795186,0.0596470092668318
"06.06.3","P","3","ALL_MICROBES",122.27608,4.806281438936,6.150682823,0.050301602921847
"10.02.1","G","1","ALL_MICROBES",67.92781,4.21844552361389,1.50267075775,0.0221215840426771
"10.02.2","G","2","ALL_MICROBES",64.8509,4.17209078884657,2.593881966,0.0399976247978054
"10.02.3","G","3","ALL_MICROBES",115.03799,4.74526242163651,2.17125608975,0.0188742526686184
"11.06.2","G","2","ALL_MICROBES",59.9953,4.09426622582055,1.55043254175,0.0258425666968913
"11.06.3","G","3","ALL_MICROBES",309.41603,5.73468674675163,1.54764301975,0.00500181913571188
"11.10.1","G","1","ALL_MICROBES",81.3019,4.39816938651439,3.5880055938,0.044131878760521
"11.10.3","G","3","ALL_MICROBES",132.64501,4.887676462085,1.98336204566667,0.014952406017133
"12.01.2","G","2","ALL_MICROBES",92.35881,4.52568110003776,3.5976105856,0.0389525437324279
"12.01.3","G","3","ALL_MICROBES",126.2569,4.83831872012737,1.158123433,0.00917275359208091
"12.05.2","G","2","ALL_MICROBES",44.58852,3.79747642679004,1.803802156,0.0404544074573455
"12.05.3","G","3","ALL_MICROBES",18.05027,2.89316064311577,1.502955986,0.083265014096742
"12.09.1","G","1","ALL_MICROBES",154.04123,5.03722029385381,1.6738471238,0.01086622798195
"12.09.2","G","2","ALL_MICROBES",63.56816,4.15211271605876,1.5783235628,0.0248288382548748
"12.09.3","G","3","ALL_MICROBES",81.25309,4.39756885125593,5.1170005644,0.0629760734564064
"14.10.1","G","1","ALL_MICROBES",42.37155,3.74647714645695,1.60362130325,0.0378466518985026
"14.10.2","G","2","ALL_MICROBES",36.81094,3.60579508360386,1.52391255175,0.0413983601546171
"14.10.3","G","3","ALL_MICROBES",33.28269,3.50503744201342,3.8279734985,0.115013945642615
"15.16.2","P","2","ALL_MICROBES",26.29989,3.26956475666547,1.4287892852,0.0543268160132989
"17.01.1","G","1","ALL_MICROBES",53.64965,3.98247494529028,1.80118957275,0.0335731840328874
"17.01.1b","G","1","ALL_MICROBES",36.00875,3.58376196447845,1.44707946025,0.0401868840281876
"17.01.3","G","3","ALL_MICROBES",27.31352,3.30738181769624,1.23355333966667,0.0451627377088955
"17.06.1","P","1","ALL_MICROBES",61.01756,4.11116169159948,0.6282718845,0.0102965750269267
"17.06.2","P","2","ALL_MICROBES",56.69473,4.03768126108774,3.583245925,0.0632024515329732
"17.06.3","P","3","ALL_MICROBES",48.00636,3.87133350213054,1.054659411,0.0219691601487803
"18.05.1","P","1","ALL_MICROBES",39.89771,3.68631892876504,0.86843992975,0.0217666610376886
"18.05.2","P","2","ALL_MICROBES",103.13105,4.63600050960069,1.40317209775,0.0136057191093274
"18.05.3","P","3","ALL_MICROBES",71.25716,4.26629530532793,3.17391547625,0.0445417060720635
"20.04.1","P","1","ALL_MICROBES",27.12697,3.30052843595154,2.13793892375,0.0788123009591561
"20.04.2","P","2","ALL_MICROBES",43.84258,3.78060549127311,2.184655994,0.0498295491278114
"22.07.2","G","2","ALL_MICROBES",120.62095,4.79265298396596,1.4193763684,0.0117672458092893
"22.07.3","G","3","ALL_MICROBES",79.66239,4.3777975798141,2.0781087164,0.0260864470222397
"24.02.1","G","1","ALL_MICROBES",72.18119,4.27917948564011,1.9029663608,0.026363743252224
"24.02.2","G","2","ALL_MICROBES",54.33358,3.99514245200565,1.7318980336,0.0318752792214318
"24.02.3","G","3","ALL_MICROBES",72.49938,4.28357801009992,5.5870593112,0.0770635460772216
"28.01.2","P","2","ALL_MICROBES",16.43832,2.79961519462528,1.86711666066667,0.113583180073552
"28.01.3","P","3","ALL_MICROBES",62.21407,4.13058117995224,3.55041475975,0.0570677140998813
"34.06.1","G","1","ALL_MICROBES",94.63992,4.55007937436124,2.04208780925,0.0215774464861128
"34.06.3","G","3","ALL_MICROBES",45.66644,3.82136367364405,4.689589142,0.102692242749818
"37.04.1","P","1","ALL_MICROBES",57.94452,4.05948600103473,2.1512147205,0.0371254213599491
"37.04.2","P","2","ALL_MICROBES",118.86764,4.77801060517384,2.15808826975,0.0181553892190507
"37.04.3","P","3","ALL_MICROBES",60.54872,4.10344833022157,6.418241753,0.10600127885445
"43.02.1","G","1","ALL_MICROBES",29.73743,3.39240652169608,1.99379757925,0.0670467346791569
"43.02.2","G","2","ALL_MICROBES",56.24722,4.02975661764099,1.697152875,0.0301730978882156
"43.02.3","G","3","ALL_MICROBES",45.9889,3.82840006302269,1.64469066975,0.0357627747075925
"46.03.2","P","2","ALL_MICROBES",11.25519,2.42082935560226,1.8613398168,0.165376134636554
"46.03.3","P","3","ALL_MICROBES",51.77321,3.94687283401379,1.7956607806,0.0346832035448449
"48.01.1","G","1","ALL_MICROBES",52.56111,3.96197649267482,2.4372858,0.0463705161477754
"48.01.3","G","3","ALL_MICROBES",63.02403,4.14351608223758,2.2786588995,0.0361553981790755
"52.04.1","P","1","ALL_MICROBES",47.53178,3.86139853995624,1.43460097025,0.0301819323881832
"52.04.2","P","2","ALL_MICROBES",37.81632,3.63274075548179,2.69679282833333,0.0713129365399206
"52.04.3","P","3","ALL_MICROBES",26.84159,3.28995255028925,2.391622018,0.0891013542044268
"55.11.1","P","1","ALL_MICROBES",42.96676,3.76042679350121,1.13743074633333,0.026472341557365
"55.11.2","P","2","ALL_MICROBES",95.51982,4.55933376522041,0.98787885275,0.0103421347815563
"58.05.1","P","1","ALL_MICROBES",27.28723,3.30641882718671,1.6491886878,0.0604381129121571
"58.05.2","P","2","ALL_MICROBES",29.32367,3.37839503971733,3.1072644568,0.10596437815594
"58.05.3","P","3","ALL_MICROBES",77.09666,4.34505995926776,2.4007131184,0.0311390028880629
"63.04.2","P","2","ALL_MICROBES",60.96939,4.11037193494922,1.1671964096,0.0191439738793516
