,clean_compounds,messy_compounds,clean_Samples,messy_Samples
1,12:00,12:00,01.05.1,01.05.1
2,14:00,14:00,01.13.1,01.13.1
3,a15:0,a15:0,01.13.2,01.13.2
4,15:00,15:00,01.13.3,01.13.3
5,16:1n9/i16:0,16:1n9/i16:0,01.05.03,01.5.3
6,16:00,16:00,10.02.2,10.02.2
7,i17:0,i17:0,10.02.1,10.2.1
8,17:0cy,17:0cy,10.02.3,10.2.3
9,17:00,17:00,11.06.2,11.06.2
10,"18:2n9,12 and cis-18:1n9 and 183n3",18:3n6,11.10.1,11.1.1
11,18:00,"18:2n9,12 and cis-18:1n9 and 183n3",11.10.3,11.10.3
12,19:0cy,18:00,11.06.3,11.6.2
13,19:00,19:0cy,12.09.1,11.6.3
14,20:4n6,19:00,12.09.2,12.09.1
15,20:5n3,20:4n6,12.01.2,12.09.2
16,trans-18:1n9,20:5n3,12.01.3,12.1.2
,,trans-18:1n9,12.05.2,12.1.3
,,,12.05.3,12.5.2
,,,12.09.3,12.5.3
,,,14.10.3,12.9.3
,,,14.10.1,14.1.3
,,,14.10.2,14.10.1
,,,15.16.2,14.10.2
,,,17.01.1,15.6.2
,,,17.01.3,17.01.1
,,,17.06.1,17.01.3
,,,17.06.2,17.06.1
,,,17.01.1b,17.06.2
,,,17.06.3,17.1.1
,,,18.05.1,17.6.3
,,,18.05.2,18.05.1
,,,18.05.3,18.05.2
,,,02.10.1,18.5.3
,,,02.10.3,2.10.1
,,,02.08.1,2.10.3
,,,02.08.2,2.8.1
,,,02.08.3,2.8.2
,,,20.04.1,2.8.3
,,,20.04.2,20.04.1
,,,22.07.2,20.4.2
,,,22.07.3,22.7.2
,,,24.02.1,22.7.3
,,,24.02.2,24.2.1
,,,24.02.3,24.2.2
,,,28.01.2,24.2.3
,,,28.01.3,28.1.2
,,,03.07.2,28.1.3
,,,03.07.3,3.7.2
,,,34.06.1,3.7.3
,,,34.06.3,34.06.1
,,,37.04.1,34.1.3
,,,37.04.2,37.04.1
,,,37.04.3,37.4.2
,,,43.02.1,37.4.3
,,,43.02.2,43.02.1
,,,43.02.3,43.02.2
,,,46.03.2,43.02.3
,,,46.03.3,46.3.2
,,,48.01.1,46.3.3
,,,48.01.3,48.01.1
,,,05.03.1,48.01.3
,,,05.03.2,5.3.1
,,,05.03.3,5.3.2
,,,05.09.2,5.3.3
,,,05.09.3,5.9.2
,,,52.04.2,5.9.3
,,,52.04.1,52.04.2
,,,52.04.3,52.4.1
,,,55.11.1,52.4.3
,,,55.11.2,55.11.1
,,,58.05.2,55.11.2
,,,58.05.3,58.05.2
,,,58.05.1,58.05.3
,,,06.06.1,58.5.1
,,,06.06.2,6.6.1
,,,06.06.3,6.6.2
,,,63.04.2,6.6.3
,,,,63.4.2
